Protein family,Layer,Head,Correlation,P-value
PF01951,0,0,-0.18270429733634375,3.9687671300515256e-274
PF01951,0,1,-0.21714149775827044,0.0
PF01951,0,2,-0.2838839558640606,0.0
PF01951,0,3,-0.1546850569540872,3.742436802017371e-196
PF01951,0,4,-0.16264899164526914,6.301971948412436e-217
PF01951,0,5,-0.27218076875169755,0.0
PF01951,0,6,-0.09223140390918756,1.861923827781406e-70
PF01951,0,7,-0.24031044125198528,0.0
PF01951,0,8,-0.2005993284304015,0.0
PF01951,0,9,-0.16160604504777998,3.822086770240497e-214
PF01951,0,10,0.14258395991954942,1.1335873030677817e-166
PF01951,0,11,-0.1443566988365384,7.796175759462816e-171
PF01951,1,0,-0.049109801220834866,3.9303374669962505e-21
PF01951,1,1,-0.10237884782887915,1.8456383027300257e-86
PF01951,1,2,-0.36519080561306594,0.0
PF01951,1,3,-0.23188403937656304,0.0
PF01951,1,4,-0.06242520672597019,3.687016208384092e-33
PF01951,1,5,-0.06855455888496408,1.1819290188566907e-39
PF01951,1,6,0.012791571579437465,0.01404935742670436
PF01951,1,7,-0.154988397242681,6.337582520614037e-197
PF01951,1,8,-0.006064490232440538,0.24428084547908707
PF01951,1,9,0.005143551304269198,0.32338048505006955
PF01951,1,10,-0.05672178697899551,1.1654556527147535e-27
PF01951,1,11,-0.18584644912241266,9.905435431982213e-284
PF01951,2,0,-0.08637219050800203,5.523191206115684e-62
PF01951,2,1,-0.2274654025625166,0.0
PF01951,2,2,-0.2962464562185878,0.0
PF01951,2,3,-0.32340713310695196,0.0
PF01951,2,4,-0.33628861793680714,0.0
PF01951,2,5,-0.16786732313081765,3.9118650173393936e-231
PF01951,2,6,-0.31260679636610184,0.0
PF01951,2,7,-0.3006501453439403,0.0
PF01951,2,8,-0.2823289292176245,0.0
PF01951,2,9,-0.12117187796819538,1.3687518119467384e-120
PF01951,2,10,-0.35121672970484247,0.0
PF01951,2,11,-0.27135322661254707,0.0
PF01951,3,0,-0.03684209788542184,1.4854084866944832e-12
PF01951,3,1,0.009471696546635506,0.06898089686827978
PF01951,3,2,-0.34618384341447495,0.0
PF01951,3,3,-0.31148393788896944,0.0
PF01951,3,4,-0.1692957827138993,4.176304509651416e-235
PF01951,3,5,-0.3460441734368427,0.0
PF01951,3,6,-0.26872240863435704,0.0
PF01951,3,7,-0.23392853875894043,0.0
PF01951,3,8,-0.037177417930200914,9.313390808341485e-13
PF01951,3,9,-0.3837393690621383,0.0
PF01951,3,10,-0.29315370814018077,0.0
PF01951,3,11,-0.2015705307540249,0.0
PF01951,4,0,-0.3057928691452241,0.0
PF01951,4,1,0.10790159368668836,6.976687164341589e-96
PF01951,4,2,-0.33433683942833214,0.0
PF01951,4,3,-0.23574780723846792,0.0
PF01951,4,4,-0.16943693231825163,1.6842962472369762e-235
PF01951,4,5,-0.09291793148576215,1.7398647961028566e-71
PF01951,4,6,-0.12954350389862304,1.0921997587114496e-137
PF01951,4,7,-0.23713069581515428,0.0
PF01951,4,8,-0.11794974503172012,2.5394951888753256e-114
PF01951,4,9,-0.19052880309828243,2.2940585811891825e-298
PF01951,4,10,-0.18509689114143174,2.0068182879264135e-281
PF01951,4,11,-0.13265946003683088,2.3651649623670645e-144
PF01951,5,0,0.06517760069560163,5.313776582818031e-36
PF01951,5,1,-0.27843437036966584,0.0
PF01951,5,2,-0.08943041191980601,2.455308674966462e-66
PF01951,5,3,-0.29449600815792903,0.0
PF01951,5,4,-0.3046556563286005,0.0
PF01951,5,5,0.127709526449153,7.664685109205099e-134
PF01951,5,6,-0.2622434577781825,0.0
PF01951,5,7,-0.22168603778591878,0.0
PF01951,5,8,-0.2358861074532814,0.0
PF01951,5,9,-0.2789386024617935,0.0
PF01951,5,10,-0.2580765332979872,0.0
PF01951,5,11,0.015259002844565585,0.0033918049826467764
PF01951,6,0,-0.21077792036046372,0.0
PF01951,6,1,-0.16908681658192368,1.5995878600691777e-234
PF01951,6,2,-0.18393619578730186,7.156194650863984e-278
PF01951,6,3,-0.045614995832387574,1.9123332427282445e-18
PF01951,6,4,-0.1845078530679733,1.2828501718366457e-279
PF01951,6,5,-0.05086187392116899,1.4926592136868607e-22
PF01951,6,6,-0.06888399281446833,5.08621605167246e-40
PF01951,6,7,-0.19083761463505924,2.40791949342945e-299
PF01951,6,8,-0.20096040017842015,0.0
PF01951,6,9,-0.2027041885875306,0.0
PF01951,6,10,-0.19703936351098603,0.0
PF01951,6,11,-0.010154193346424423,0.051225093382542504
PF01951,7,0,-0.13185498789202257,1.2886341805600024e-142
PF01951,7,1,-0.13597735700357086,1.2519718566837134e-151
PF01951,7,2,-0.1527699831604304,2.544857781676949e-191
PF01951,7,3,-0.15175499935478273,8.736981349579455e-189
PF01951,7,4,-0.16124925089943998,3.388351854717661e-213
PF01951,7,5,-0.12327628009728953,8.887523352160163e-125
PF01951,7,6,0.04732656898187223,9.76934183005989e-20
PF01951,7,7,0.0427015848233673,2.360914490174667e-16
PF01951,7,8,-0.16500438030653783,2.7886743143219242e-223
PF01951,7,9,-0.22334114257960302,0.0
PF01951,7,10,-0.1823445293118693,4.8639785441180564e-273
PF01951,7,11,-0.024659302553349687,2.188979896264024e-06
PF01951,8,0,-0.16738079105406625,8.649478068050492e-230
PF01951,8,1,-0.19548619247500354,0.0
PF01951,8,2,-0.25720414941828873,0.0
PF01951,8,3,-0.06811343611757203,3.632422373653744e-39
PF01951,8,4,0.04351172105569797,6.38308375316219e-17
PF01951,8,5,-0.12282109307884359,7.258241716938949e-124
PF01951,8,6,0.18687466988635665,6.538421733314546e-287
PF01951,8,7,-0.15029077605932548,3.700601466061674e-185
PF01951,8,8,-0.29192348237727217,0.0
PF01951,8,9,-0.15038956198549597,2.1121878262697427e-185
PF01951,8,10,-0.201231191574575,0.0
PF01951,8,11,-0.22065973458864543,0.0
PF01951,9,0,-0.17810643723673397,2.165705669042713e-260
PF01951,9,1,-0.02411584659799224,3.6432784409360117e-06
PF01951,9,2,-0.22279127535092866,0.0
PF01951,9,3,-0.23408296301366113,0.0
PF01951,9,4,-0.21234765657524898,0.0
PF01951,9,5,-0.1111295845770171,1.2669937308316696e-101
PF01951,9,6,-0.1741461111134971,7.403018255610442e-249
PF01951,9,7,-0.05040509451312747,3.5400719320876143e-22
PF01951,9,8,-0.1550006686890783,5.897808449908296e-197
PF01951,9,9,0.05906959980760293,7.341150169924021e-30
PF01951,9,10,-0.27030687153628136,0.0
PF01951,9,11,-0.11390090989730349,1.0870517344006288e-106
PF01951,10,0,0.02234229012027354,1.785848788882185e-05
PF01951,10,1,-0.10772598197017785,1.4158641055297926e-95
PF01951,10,2,-0.015999731699448037,0.0021260056498029816
PF01951,10,3,-0.16434465410419852,1.7172274506315337e-221
PF01951,10,4,-0.12480074699626206,7.395724695236699e-128
PF01951,10,5,-0.18445508398066388,1.8605303648973784e-279
PF01951,10,6,-0.05024981163545091,4.739716958302929e-22
PF01951,10,7,-0.25785337486624155,0.0
PF01951,10,8,-0.13473721628065766,6.902642792687705e-149
PF01951,10,9,-0.08952517683833179,1.7898140864086025e-66
PF01951,10,10,-0.12949468173794326,1.3849162534334623e-137
PF01951,10,11,-0.11164958669040864,1.4515148804135293e-102
PF01951,11,0,-0.19606031574871038,0.0
PF01951,11,1,-0.2707287001896187,0.0
PF01951,11,2,-0.20904721875272217,0.0
PF01951,11,3,-0.18996971461904183,1.344740772038931e-296
