Protein family,Layer,Correlation,P value
PF13466,0,0.39239142548403305,5.962249154780191e-108
PF13466,1,0.4278211445086788,4.181314421270134e-130
PF13466,2,0.46892618823813303,2.3316172728487775e-159
PF13466,3,0.4141659628891147,3.008945612654288e-121
PF13466,4,0.3790835432961924,2.6475173068710674e-100
PF13466,5,0.3739283580354016,1.953662004778697e-97
PF13466,6,0.3878716970742318,2.585567711905923e-105
PF13466,7,0.4171557538299798,3.7504929139525434e-123
PF13466,8,0.4405032752446957,1.0504685469160273e-138
PF13466,9,0.4478504811125486,7.3959660073156e-144
PF13466,10,0.4230330159661598,5.9398489083722544e-127
PF13466,11,0.41673989280791623,6.920359616875803e-123
