Protein family,Layer,Correlation,P value
PF13466,0,0.053742771827794376,0.0036964987798676634
PF13466,1,0.017593560271766853,0.34225534911370603
PF13466,2,0.043266282208838366,0.019466676700262767
PF13466,3,0.07307709194691876,7.823201263878733e-05
PF13466,4,0.05284733268053246,0.004310094775534963
PF13466,5,0.0440339038981824,0.017408492317073233
PF13466,6,0.03763127877466928,0.04215998673613713
PF13466,7,0.037145323902999954,0.044890440871334904
PF13466,8,0.02542357041579363,0.16990596970271582
PF13466,9,0.03889265121635503,0.03572028802377656
PF13466,10,0.03778520848860987,0.0413249361057274
PF13466,11,0.027353303488407026,0.1397503399372719
