Protein family,Layer,Correlation,P value
PF13466,0,0.34192327298722025,9.178165947817668e-81
PF13466,1,0.3721064784175083,1.9589366854423187e-96
PF13466,2,0.38226658643252226,4.22557314962738e-102
PF13466,3,0.296629141771323,2.606940116842056e-60
PF13466,4,0.27053278843643713,4.389455822583529e-50
PF13466,5,0.2290912333060913,4.947818132390149e-36
PF13466,6,0.19290566202619341,7.661877126131943e-26
PF13466,7,0.20557329219493672,3.3956301642711433e-29
PF13466,8,0.23416834322545474,1.295219169061108e-37
PF13466,9,0.3195604305083814,3.189058599852802e-70
PF13466,10,0.3682736669334659,2.3838752486107757e-94
PF13466,11,0.41588502296451374,2.431297015689599e-122
