Protein family,Layer,Correlation,P value
PF13377,0,0.201078648236911,5.689558367136018e-41
PF13377,1,0.17998633568206976,4.886475885997809e-33
PF13377,2,0.13923210456310067,2.6642386218626336e-20
PF13377,3,0.08271732525929978,4.573359328145854e-08
PF13377,4,0.051508525052074546,0.000671780311523066
PF13377,5,0.04551526805808927,0.002658405716447864
PF13377,6,0.036595504233437465,0.01571711250322983
PF13377,7,0.037393058555199775,0.013583362487231548
PF13377,8,0.04188689918571315,0.0056930585965276215
PF13377,9,0.04862005416580095,0.0013278072149152107
PF13377,10,0.059964442375034135,7.492434071676584e-05
PF13377,11,0.03586005820856247,0.017940406197537027
