Protein family,Layer,Correlation,P value
PF14317,0,0.1932351965208198,1.570202797302313e-166
PF14317,1,0.1316052875134029,1.6318641476216122e-77
PF14317,2,0.12310189887645506,5.561530785047854e-68
PF14317,3,0.07466544321021518,5.537932106065462e-26
PF14317,4,0.08656948518943235,2.1896797417750638e-34
PF14317,5,0.10223083890751222,2.452261463662208e-47
PF14317,6,0.09236122208585823,6.353550592539408e-39
PF14317,7,0.07870534714669782,1.0724665422783178e-28
PF14317,8,0.057025661347981677,8.508363039854437e-16
PF14317,9,0.053092178958416086,6.845003137150595e-14
PF14317,10,0.04746492997613287,2.143363105167198e-11
PF14317,11,0.028906838830806632,4.572655838037098e-05
