Protein family,Layer,Correlation,P value
PF13466,0,0.34123892184658206,1.9885224843287538e-80
PF13466,1,0.37195636495856715,2.3671429243376018e-96
PF13466,2,0.40717648088080277,7.166991392395326e-117
PF13466,3,0.3651726581600556,1.1059790358112593e-92
PF13466,4,0.3299629863863824,5.130460913836932e-75
PF13466,5,0.2951604353593548,1.0495975768497837e-59
PF13466,6,0.28221877144074314,1.5800711862938483e-54
PF13466,7,0.2959056420126493,5.182642541405283e-60
PF13466,8,0.3234988511749367,5.140677170588795e-72
PF13466,9,0.39906152147658863,6.41800454732199e-112
PF13466,10,0.4274308941012953,7.58863972071552e-130
PF13466,11,0.45489316865374235,6.453961511338258e-149
