Protein family,Layer,Correlation,P value
PF20171,0,0.1365463436868356,3.89767606120172e-71
PF20171,1,0.12414840325620027,4.976965202130663e-59
PF20171,2,0.14636765355829148,1.4346868385729686e-81
PF20171,3,0.09561710005726333,1.2673455163626667e-35
PF20171,4,0.052082895172573467,1.2451503004845312e-11
PF20171,5,0.03387490001161173,1.0594244079074549e-05
PF20171,6,0.029003354449726893,0.00016262698796698461
PF20171,7,0.0385514111511575,5.353882021642981e-07
PF20171,8,0.030062751147219756,9.277415473195936e-05
PF20171,9,0.01997592668386767,0.009405904075407447
PF20171,10,0.01703591067822667,0.026783047913140904
PF20171,11,0.020433064716861075,0.007898473490389411
