Protein family,Layer,Correlation,P value
PF00699,0,0.1845528542817681,0.0
PF00699,1,0.13714320962812135,0.0
PF00699,2,0.15833900325208872,0.0
PF00699,3,0.14400523246027117,0.0
PF00699,4,0.07819370644932923,2.6882088226967866e-117
PF00699,5,0.04201749200327991,4.3868679762064533e-35
PF00699,6,0.020128733101457304,3.2516465366623597e-09
PF00699,7,0.010269717751909201,0.0025333194154540076
PF00699,8,0.004276790875249036,0.20862182871711654
PF00699,9,0.0006543047815757738,0.8474579946839697
PF00699,10,-0.0033877341615447323,0.3192587465278971
PF00699,11,-0.002656860549078914,0.4347395160201619
