Protein family,Layer,Correlation,P value
PF13377,0,0.48078836408820314,7.382904729356875e-251
PF13377,1,0.5034585837554063,1.0079032698382465e-278
PF13377,2,0.45085395086074703,3.830993889311752e-217
PF13377,3,0.3821073087026922,1.8916961965517862e-151
PF13377,4,0.349621015348195,1.8740829025582312e-125
PF13377,5,0.283556409622594,2.39487864547953e-81
PF13377,6,0.30785457641212305,2.8362822824183474e-96
PF13377,7,0.34518544571540466,3.9087431756379156e-122
PF13377,8,0.3640411303615667,1.2736767389696206e-136
PF13377,9,0.3695067570631303,5.2329810997953035e-141
PF13377,10,0.35312810831319214,4.0743393775320456e-128
PF13377,11,0.3228396255117262,3.230511710864753e-106
