Protein family,Layer,Correlation,P value
PF01951,0,0.09680379722874881,1.853752722099877e-77
PF01951,1,0.013655317386296125,0.008745281844176679
PF01951,2,0.03385222509393328,7.964472499877157e-11
PF01951,3,0.13966661383720066,6.143734407782797e-160
PF01951,4,0.14677614664945626,1.3317187636424754e-176
PF01951,5,0.147888442135149,2.750603688684627e-179
PF01951,6,0.14766093261209606,9.77990201546212e-179
PF01951,7,0.12261060426949026,1.9116688143795395e-123
PF01951,8,0.11247827683136827,4.4980348324389086e-104
PF01951,9,0.1234729558794946,3.5779347985659077e-125
PF01951,10,0.15079193935668167,2.1429589965494043e-186
PF01951,11,0.16824122772427466,3.5994833053532464e-232
