Protein family,Layer,Head,Correlation,P-value
PF12872,0,0,-0.20263391733922503,4.3112826145058715e-156
PF12872,0,1,-0.3146626537606037,0.0
PF12872,0,2,-0.3503588595575299,0.0
PF12872,0,3,-0.36039337260576226,0.0
PF12872,0,4,-0.12779665792115574,1.8086684833771772e-62
PF12872,0,5,-0.21672489833850936,8.39921342924447e-179
PF12872,0,6,-0.34685615581246126,0.0
PF12872,0,7,-0.403440671260354,0.0
PF12872,0,8,-0.36734660759403526,0.0
PF12872,0,9,-0.18932551504574505,3.716655368855862e-136
PF12872,0,10,0.010654721695267853,0.1660369718271592
PF12872,0,11,-0.3779739746855926,0.0
PF12872,1,0,-0.09769060039411756,4.064972983302003e-37
PF12872,1,1,-0.16428023474070003,1.5211329960131625e-102
PF12872,1,2,0.03821300879030318,6.72510209598673e-07
PF12872,1,3,-0.23038863929531458,1.9963895492276674e-202
PF12872,1,4,-0.1099700714998473,1.2564159524277812e-46
PF12872,1,5,-0.03527739074218683,4.493394062459464e-06
PF12872,1,6,-0.011803289684617786,0.1249392423999446
PF12872,1,7,-0.1628790188969152,8.207819720578976e-101
PF12872,1,8,-0.07915124600168726,6.684253408154763e-25
PF12872,1,9,-0.08152162951291901,2.5461625710010156e-26
PF12872,1,10,-0.029037136127581274,0.00015978668866534616
PF12872,1,11,-0.3601625990242027,0.0
PF12872,2,0,-0.327338237209996,0.0
PF12872,2,1,-0.4366403599393338,0.0
PF12872,2,2,-0.180689166643585,5.3935138855841e-124
PF12872,2,3,-0.11922115418131332,1.5158375913857553e-54
PF12872,2,4,-0.14910188564155474,1.312824011546797e-84
PF12872,2,5,-0.13019513498626784,8.716969169826665e-65
PF12872,2,6,-0.292934382691608,0.0
PF12872,2,7,-0.26253315795933296,2.1145142780177023e-264
PF12872,2,8,-0.33699934026179096,0.0
PF12872,2,9,-0.2734098475297958,1.829318683062264e-287
PF12872,2,10,-0.3174961101188236,0.0
PF12872,2,11,-0.16062730891469343,4.6235618361501044e-98
PF12872,3,0,-0.1767503722430909,1.1964506561268083e-118
PF12872,3,1,0.08933017553956574,2.7253291749127064e-31
