Protein family,Layer,Correlation,P value
PF10114,0,0.3314310144977629,0.0
PF10114,1,0.3676927962572115,0.0
PF10114,2,0.32190252131093877,0.0
PF10114,3,0.24860709737001466,0.0
PF10114,4,0.1676860396023496,7.882258265889117e-238
PF10114,5,0.11325072800571477,9.446415640990608e-109
PF10114,6,0.06322025049269873,5.523263978707272e-35
PF10114,7,0.028430799562034818,2.9404752767578826e-08
PF10114,8,0.03126642761536699,1.072401167302553e-09
PF10114,9,0.039064696465235395,2.5313795096749618e-14
PF10114,10,0.04626495304659272,1.777327857240139e-19
PF10114,11,0.047742074107780384,1.2228646339363526e-20
