Protein family,Layer,Head,Correlation,P-value
PF13377,0,0,-0.10648661633068267,1.839475676279423e-12
PF13377,0,1,-0.356619977706354,8.414067361744852e-131
PF13377,0,2,-0.36555460129497125,7.925133894390307e-138
PF13377,0,3,-0.32319682183754994,1.8416226214418357e-106
PF13377,0,4,0.15645007646497264,2.8486359766896676e-25
PF13377,0,5,-0.25348269616342695,7.736271893510905e-65
PF13377,0,6,-0.3370172524766176,3.6700010551622667e-116
PF13377,0,7,-0.4023324408822574,3.347242974854885e-169
PF13377,0,8,-0.43301357911502253,1.3493671901964279e-198
PF13377,0,9,-0.3872165635659453,8.117040423081416e-156
PF13377,0,10,-0.23177968503214372,3.225807207278363e-54
PF13377,0,11,-0.4625352750542619,6.688969758125089e-230
PF13377,1,0,-0.2752233690146344,1.470197025445226e-76
PF13377,1,1,0.05582909135113307,0.00022732566937271566
PF13377,1,2,0.07758282363932141,2.948255238963481e-07
PF13377,1,3,-0.2965826998017609,3.615610820391294e-89
PF13377,1,4,-0.49258445403151924,4.281735948826507e-265
PF13377,1,5,-0.35214823122689104,2.277414481115355e-127
PF13377,1,6,-0.3735924367100211,2.4197027545002146e-144
PF13377,1,7,-0.3622153774043732,3.5587684650551814e-135
PF13377,1,8,-0.4268989969998528,1.7179914025916402e-192
PF13377,1,9,-0.32823439978145047,6.13202303312876e-110
PF13377,1,10,-0.14224778187704196,3.960008572494704e-21
PF13377,1,11,-0.36137983099383414,1.621865234536352e-134
PF13377,2,0,-0.1638879213132403,1.3267606067806954e-27
PF13377,2,1,-0.294333563090543,8.674018365618687e-88
PF13377,2,2,-0.16505152042536195,5.5953983319481e-28
PF13377,2,3,-0.14643417110050497,2.620746251404325e-22
PF13377,2,4,-0.18796524744715548,6.271697786093482e-36
PF13377,2,5,0.3179702949905221,6.360694171039828e-103
PF13377,2,6,-0.2129344679793535,7.61640654234387e-46
PF13377,2,7,-0.2509943241152805,1.446411554641321e-63
PF13377,2,8,-0.3261256585147567,1.784046675992006e-108
PF13377,2,9,0.0637930419535987,2.515279396261259e-05
PF13377,2,10,-0.24130884438564335,9.468567642688495e-59
PF13377,2,11,-0.3471595672405992,1.3225177442129421e-123
PF13377,3,0,-0.401986630428281,6.898716335213207e-169
PF13377,3,1,-0.28189191815753445,2.233497191771222e-80
PF13377,3,2,-0.1623072354753364,4.24369648519517e-27
PF13377,3,3,0.15826703090440655,7.858598400628853e-26
PF13377,3,4,-0.3501145968285987,7.944982258629042e-126
PF13377,3,5,-0.29919588398053454,8.691274069436666e-91
PF13377,3,6,-0.2083987260767642,6.050021629477519e-44
PF13377,3,7,-0.2765671511214547,2.549580729014052e-77
PF13377,3,8,0.042343310959353585,0.00518820557559962
PF13377,3,9,-0.24029362186498798,2.9432189241291246e-58
PF13377,3,10,-0.30056767090017644,1.2088319198039652e-91
PF13377,3,11,-0.18558517048350007,4.71869074548773e-35
PF13377,4,0,-0.24393953338722923,4.888821011038515e-60
PF13377,4,1,0.01987165662673663,0.18976237275989535
PF13377,4,2,-0.29537492713384855,1.998954634700478e-88
PF13377,4,3,-0.34396845086248495,3.1142525647394345e-121
PF13377,4,4,-0.23331262869399705,6.211374192980506e-55
PF13377,4,5,-0.29109559204876584,8.001486403260367e-86
PF13377,4,6,-0.3120987560956077,4.950971566816118e-99
PF13377,4,7,0.017175227338983686,0.2570785268633991
PF13377,4,8,-0.26157193219603353,4.5283374243870013e-69
PF13377,4,9,-0.32882897953705453,2.359182942685239e-110
PF13377,4,10,-0.2964591453992586,4.308405478621407e-89
PF13377,4,11,-0.2887405104354498,2.071291746950677e-84
PF13377,5,0,0.037290673431221236,0.013842138539522432
PF13377,5,1,0.02195893535750651,0.14732403906055228
PF13377,5,2,-0.27185590656513586,1.1359359841339364e-74
PF13377,5,3,-0.224406711301622,7.535936068581646e-51
PF13377,5,4,-0.12718409669254907,3.577484220273652e-17
PF13377,5,5,-0.0228502222227384,0.1315855744877509
PF13377,5,6,-0.20850456441387985,5.469225828761897e-44
PF13377,5,7,-0.09792871098930207,9.355637220984547e-11
PF13377,5,8,0.054887115705005735,0.0002898101331984762
PF13377,5,9,-0.23999383250116504,4.1098268852767045e-58
PF13377,5,10,-0.17860696687596206,1.497886442241762e-32
PF13377,5,11,0.09271576967437024,8.749698442752009e-10
PF13377,6,0,-0.3019124701653994,1.7296586152975626e-92
PF13377,6,1,-0.1361695631417187,1.7695124456106015e-19
PF13377,6,2,-0.25651967076868687,2.0756688530910517e-66
PF13377,6,3,-0.05953785951692134,8.429149691004136e-05
PF13377,6,4,-0.2093502919905841,2.436792932914361e-44
PF13377,6,5,-0.2909846768603466,9.333068530513274e-86
PF13377,6,6,-0.19369352534833423,4.358769959956881e-38
PF13377,6,7,-0.2518117549143404,5.547278959315906e-64
PF13377,6,8,-0.29263847514559105,9.334317434395157e-87
PF13377,6,9,-0.2215200701176423,1.4568088246058997e-49
PF13377,6,10,-0.21475034239575597,1.2842441368450006e-46
PF13377,6,11,0.08867113847207928,4.568700877240504e-09
PF13377,7,0,-0.2724142640991834,5.548370382045509e-75
PF13377,7,1,-0.2818441408945678,2.380790368163829e-80
PF13377,7,2,-0.2959893982452116,8.383656922004086e-89
PF13377,7,3,-0.31352057106421655,5.761129930831014e-100
PF13377,7,4,-0.3074993104014155,4.803433348278796e-96
PF13377,7,5,-0.1879990685627964,6.093201880506313e-36
PF13377,7,6,-0.018019155070880696,0.23443201547740905
PF13377,7,7,-0.21841367424377978,3.367061646414714e-48
PF13377,7,8,-0.27254514099686156,4.689401857337511e-75
PF13377,7,9,-0.14267482428607361,3.0130151276957108e-21
PF13377,7,10,-0.274728631065528,2.795350964079854e-76
PF13377,7,11,0.05945385727390401,8.626194711935505e-05
PF13377,8,0,-0.31668839432699314,4.576964890152786e-102
PF13377,8,1,-0.2843734063110666,7.959285780311718e-82
PF13377,8,2,0.2116178831725036,2.7404856725655827e-45
PF13377,8,3,-0.31432367714860776,1.7004400989849286e-100
PF13377,8,4,-0.264376792079435,1.4221963033483898e-70
PF13377,8,5,-0.35928596062364054,7.11363697172502e-133
PF13377,8,6,-0.03321947340431545,0.028346230791874025
PF13377,8,7,-0.3367008296837497,6.200456977297863e-116
PF13377,8,8,-0.10969991235238262,3.869878331719651e-13
PF13377,8,9,-0.2689027899645817,4.886290065819611e-73
PF13377,8,10,-0.3510430501482197,1.574756805489297e-126
PF13377,8,11,-0.34570265570558995,1.6134892421522917e-122
PF13377,9,0,-0.3277079735587977,1.4260002165030644e-109
PF13377,9,1,-0.22713940476907862,4.3916290927892935e-52
PF13377,9,2,-0.31193447673807695,6.343022300092594e-99
PF13377,9,3,-0.32295378839595396,2.699605947917591e-106
PF13377,9,4,-0.3880800974799237,1.4571787791455698e-156
PF13377,9,5,-0.32773559987719225,1.3642793257155467e-109
PF13377,9,6,-0.2616483429181084,4.123221177052718e-69
PF13377,9,7,-0.2150619350451677,9.44650126782656e-47
PF13377,9,8,-0.34594988293592543,1.0563947579877459e-122
PF13377,9,9,-0.07466204704284023,8.0906883170025e-07
PF13377,9,10,-0.11005914871586309,3.2417170190769053e-13
PF13377,9,11,-0.3041006008922425,7.151237549662981e-94
PF13377,10,0,-0.3384344562593814,3.477675517196749e-117
PF13377,10,1,-0.2579805097884518,3.57882357087756e-67
PF13377,10,2,-0.1977018849922898,1.2252079822911877e-39
PF13377,10,3,-0.3299859921387766,3.654601898838363e-111
PF13377,10,4,-0.2548688019903814,1.4926881345795762e-65
PF13377,10,5,-0.2693028470374775,2.943576831065333e-73
PF13377,10,6,-0.33145769897385424,3.369207709335988e-112
PF13377,10,7,-0.28769386361690447,8.707715655239957e-84
PF13377,10,8,-0.3263442953051498,1.2594436917249125e-108
PF13377,10,9,-0.39364546025857233,2.0057252634018793e-161
PF13377,10,10,-0.26366777169546163,3.424652778594552e-70
PF13377,10,11,-0.3054660101735291,9.659334430016399e-95
PF13377,11,0,-0.3883563056716695,8.403527744094468e-157
PF13377,11,1,-0.3326864028046168,4.558013700685335e-113
PF13377,11,2,-0.3444909235823591,1.2790856436890753e-121
PF13377,11,3,-0.3139447780940106,3.025456316008307e-100
PF13377,11,4,-0.31519678365034104,4.493190324568664e-101
PF13377,11,5,-0.3520337001918838,2.7837179500905077e-127
PF13377,11,6,-0.32775550575134127,1.321465847527541e-109
PF13377,11,7,-0.3219558648273409,1.293352690280429e-105
PF13377,11,8,-0.32844315070973074,4.3859406589347185e-110
PF13377,11,9,0.25828741664778393,2.470179528843223e-67
PF13377,11,10,-0.3082430109530642,1.5930203446543442e-96
PF13377,11,11,-0.3156921734751581,2.1073373878305808e-101
