Protein family,Layer,Correlation,P value
PF07677,0,0.36714867353289204,0.0
PF07677,1,0.31362966970893474,0.0
PF07677,2,0.26917127630212756,0.0
PF07677,3,0.22779954330665428,0.0
PF07677,4,0.13406874559349405,1.823297864010019e-150
PF07677,5,0.09858396605519457,6.419858899088009e-82
PF07677,6,0.08027344956133453,7.5456366438718e-55
PF07677,7,0.06847203827393984,2.353918787753287e-40
PF07677,8,0.07401301737113909,7.135676104597561e-47
PF07677,9,0.08002771901573716,1.595897542622778e-54
PF07677,10,0.07702675558900696,1.2445471995690014e-50
PF07677,11,0.07760210889383347,2.2929407666338084e-51
