Protein family,Layer,Correlation,P value
PF01951,0,0.093493396905157,2.3531992858364974e-72
PF01951,1,-0.002579550554133063,0.6204182002642447
PF01951,2,0.007370449946662554,0.15703987506819397
PF01951,3,0.07539152106187377,1.2970992980597347e-47
PF01951,4,0.06870261174010034,8.095312929850353e-40
PF01951,5,0.11342282254600991,8.305906663148958e-106
PF01951,6,0.123358310436655,6.082041000279547e-125
PF01951,7,0.1268643313601171,4.3452381109331874e-132
PF01951,8,0.12130802111435221,7.37314807136293e-121
PF01951,9,0.14430391314404398,1.0389634680466787e-170
PF01951,10,0.16636360723413923,5.43031855913371e-227
PF01951,11,0.17890821769898987,9.267786277368247e-263
