Protein family,Layer,Correlation,P value
PF13466,0,0.08176543193722179,9.831618589402576e-06
PF13466,1,0.0361079275948015,0.05122049431696755
PF13466,2,0.009882964810734661,0.5937122108691848
PF13466,3,-0.012330688958765835,0.5056687135761411
PF13466,4,-0.02282083922624697,0.21796500494398224
PF13466,5,-0.02776525884481802,0.1338813883923029
PF13466,6,-0.022506606834749854,0.2243700695666725
PF13466,7,-0.02299385687824197,0.2144949426791871
PF13466,8,-0.03257650058812982,0.07860407884829113
PF13466,9,-0.035818294644354993,0.05311568899055668
PF13466,10,-0.033997105190549035,0.06641874003131347
PF13466,11,-0.028861354329412482,0.11919307695520884
