Protein family,Layer,Correlation,P value
PF10576,0,0.19016422251179982,0.0
PF10576,1,0.12007779669833278,0.0
PF10576,2,0.15462243934468997,0.0
PF10576,3,0.1477473660535101,0.0
PF10576,4,0.1422620665676868,0.0
PF10576,5,0.09884110007331957,0.0
PF10576,6,0.07758062569850324,9.598450168641935e-204
PF10576,7,0.07103543586451154,4.54974561037799e-171
PF10576,8,0.056945738596735976,1.4877223460599975e-110
PF10576,9,0.06678688631889462,2.070398021783061e-151
PF10576,10,0.06196297966227094,1.4405661476938425e-130
PF10576,11,0.05595109896482332,8.689389041882001e-107
