Protein family,Layer,Correlation,P value
PF00699,0,0.1762064802168312,0.0
PF00699,1,0.10492293857941523,4.395096393740482e-210
PF00699,2,0.1283016712376802,0.0
PF00699,3,0.12139416611751826,5.035650569376815e-281
PF00699,4,0.12617561123217216,1.3240730723779033e-303
PF00699,5,0.16748221939337649,0.0
PF00699,6,0.2085170858347048,0.0
PF00699,7,0.21842842250868633,0.0
PF00699,8,0.2062375040979466,0.0
PF00699,9,0.20839421683282347,0.0
PF00699,10,0.1953775673607482,0.0
PF00699,11,0.20738852906782723,0.0
