Protein family,Layer,Correlation,P value
PF13377,0,0.2531834385635169,1.1021131770092849e-64
PF13377,1,0.22861965980877222,9.269311738570947e-53
PF13377,2,0.1885733448269846,3.728729551413056e-36
PF13377,3,0.1518513037734762,6.925805687507462e-24
PF13377,4,0.12374789816398925,2.4740767770410177e-16
PF13377,5,0.10250093382909632,1.1935818803349853e-11
PF13377,6,0.08437270572209958,2.447771046772954e-08
PF13377,7,0.06944980425166081,4.477019815233361e-06
PF13377,8,0.06647157490771222,1.129752830405504e-05
PF13377,9,0.07495494101759033,7.323816214652138e-07
PF13377,10,0.09600468286605503,2.1649341715371094e-10
PF13377,11,0.09101662895265317,1.7673028807389232e-09
