Protein family,Layer,Correlation,P value
PF13377,0,0.4806787770574305,9.951431189725395e-251
PF13377,1,0.5113330299831703,6.635187897019509e-289
PF13377,2,0.4804295818168619,1.9613083855589064e-250
PF13377,3,0.4143422939597606,2.4128388528128425e-180
PF13377,4,0.34178746899267115,1.2547238874807875e-119
PF13377,5,0.26432155253305323,1.5231280563261743e-70
PF13377,6,0.2419544436034957,4.590547271170822e-59
PF13377,7,0.25691865977905654,1.285698877100874e-66
PF13377,8,0.30289402580903263,4.157107755091934e-93
PF13377,9,0.32263701783301013,4.441860391931721e-106
PF13377,10,0.34182923237558027,1.1693148043847921e-119
PF13377,11,0.3422305654094045,5.9357265775880446e-120
