Protein family,Layer,Head,Correlation,P-value
PF07498,0,0,-0.3431576712329149,1.3936583490077748e-296
PF07498,0,1,-0.3514707261997035,0.0
PF07498,0,2,-0.27512674784994323,4.063941730923677e-187
PF07498,0,3,-0.3299248290480797,5.613012822982612e-273
PF07498,0,4,-0.1555244076773858,1.5657139900393728e-59
PF07498,0,5,-0.30230112855167307,2.2999415718633313e-227
PF07498,0,6,-0.2716492131802941,2.755196525677911e-182
PF07498,0,7,-0.35929216228909705,0.0
PF07498,0,8,-0.3332407260520834,8.774818834241409e-279
PF07498,0,9,-0.09306813570730471,3.0439828047459394e-22
PF07498,0,10,0.25980494081477645,2.314856812941311e-166
PF07498,0,11,-0.3159956221036743,2.2753474765283776e-249
PF07498,1,0,-0.3010500238950986,2.0585410252272942e-225
PF07498,1,1,-0.19028176436808864,1.0100531703562924e-88
PF07498,1,2,-0.23140320149492022,1.9334809448175972e-131
PF07498,1,3,-0.007580363169471268,0.43053412552931414
PF07498,1,4,-0.17614117459611847,4.247954759760004e-76
PF07498,1,5,-0.19241048110862163,1.0324332489932255e-90
PF07498,1,6,-0.0011804609956730333,0.9023020618548045
PF07498,1,7,-0.12632315437723823,1.0158646324554366e-39
PF07498,1,8,-0.19762694194002425,1.0854915279992592e-95
PF07498,1,9,0.004505314091563244,0.6394264349298358
PF07498,1,10,-0.0743659458947881,9.642164620950852e-15
PF07498,1,11,-0.32028064374158344,1.689867980109038e-256
PF07498,2,0,0.04533963743032886,2.391090154243899e-06
PF07498,2,1,-0.43481539755289167,0.0
PF07498,2,2,-0.16279590922012405,3.96546610568061e-65
PF07498,2,3,-0.1664733225034407,4.63506971366579e-68
PF07498,2,4,-0.11309114753139199,3.9977016438743265e-32
PF07498,2,5,-0.13335924534808863,4.162467195689823e-44
PF07498,2,6,-0.3227088321712475,1.366639340130923e-260
PF07498,2,7,-0.21739270444563347,7.285806548884842e-116
PF07498,2,8,-0.28786047090916067,2.02042774248043e-205
PF07498,2,9,-0.3637249417538794,0.0
PF07498,2,10,-0.2392218026256209,1.3325595316846414e-140
PF07498,2,11,0.09252775327848231,5.290244941623719e-22
PF07498,3,0,0.04740083408643526,8.143814190354129e-07
PF07498,3,1,0.30608592623804304,2.4995047189298646e-233
PF07498,3,2,-0.06536250611758025,1.0161834005966059e-11
PF07498,3,3,-0.06993095730102757,3.3161688262476264e-13
PF07498,3,4,-0.12166925855661564,5.962760994829709e-37
PF07498,3,5,-0.18250708668979684,1.1840129347951777e-81
