Protein family,Layer,Head,Correlation,P-value
PF00672,0,0,-0.15988357095021094,4.568334077227204e-255
PF00672,0,1,-0.12591999700224235,3.143061960236878e-158
PF00672,0,2,-0.04017766609145997,1.5836108067414214e-17
PF00672,0,3,-0.13780173854592315,2.1695858288284507e-189
PF00672,0,4,0.12498544122632402,6.691417488084682e-156
PF00672,0,5,0.032549099640895196,5.1258881938235295e-12
PF00672,0,6,-0.14085707495912855,7.137731414765019e-198
PF00672,0,7,-0.14463335591920395,1.2649723618757592e-208
PF00672,0,8,-0.1365775597526862,4.79818020276201e-186
PF00672,0,9,-0.026802359899674232,1.3238084556445256e-08
PF00672,0,10,-0.2180935718133737,0.0
PF00672,0,11,-0.1387703998349021,4.654561309602596e-192
PF00672,1,0,-0.22987569314854933,0.0
PF00672,1,1,-0.10009744944944116,1.9974572083642648e-100
PF00672,1,2,0.04781737672367377,3.567119233856203e-24
PF00672,1,3,-0.09072937835040751,8.905149802879018e-83
PF00672,1,4,-0.09260194226386186,3.6488098438355e-86
PF00672,1,5,-0.12805073856413615,1.3257575931571431e-163
PF00672,1,6,-0.0700724853379627,4.917662440236344e-50
PF00672,1,7,-0.04529350343008462,7.477641018188762e-22
PF00672,1,8,-0.11696212623601608,1.2032899045312177e-136
PF00672,1,9,-0.12910000470437233,2.763685486576847e-166
PF00672,1,10,-0.21841791468071217,0.0
PF00672,1,11,-0.1771259045086737,0.0
PF00672,2,0,-0.11919901845393956,6.980552281919609e-142
PF00672,2,1,-0.17091638576669424,1.0250708278976811e-291
PF00672,2,2,0.011142380222797744,0.01816721925051927
PF00672,2,3,-0.04887282805505308,3.505485838485645e-25
PF00672,2,4,-0.0100856254071839,0.032504774345404344
PF00672,2,5,-0.03364588324521579,9.696411328825261e-13
PF00672,2,6,-0.0847096361727833,2.321625373869324e-72
PF00672,2,7,-0.07179196255077477,1.944173673573271e-52
PF00672,2,8,-0.07962972054765084,3.935899685279099e-64
PF00672,2,9,-0.12279746549219997,1.608562206505038e-150
PF00672,2,10,-0.10638023051809958,3.003931118027514e-113
PF00672,2,11,-0.033970169988417134,5.866276708790841e-13
PF00672,3,0,-0.0339064335899649,6.477652112986396e-13
PF00672,3,1,0.054286721919758314,1.0837024713246986e-30
PF00672,3,2,0.05408701555260381,1.771426995212304e-30
PF00672,3,3,0.1471740386894459,5.0338440898087886e-216
PF00672,3,4,-0.12666849974395147,4.1668320069710254e-160
PF00672,3,5,-0.07238560702093871,2.7896359705636526e-53
PF00672,3,6,-0.1625842843656907,8.444263113586234e-264
PF00672,3,7,0.021042337363238184,8.144670789406458e-06
PF00672,3,8,0.08514133982017787,4.393550023035922e-73
PF00672,3,9,0.08094368403438504,3.277861042768534e-66
PF00672,3,10,-0.06578743997111833,2.6708221491425634e-44
PF00672,3,11,-0.04766959796053055,4.916551874885478e-24
PF00672,4,0,-0.04005711903931195,1.974521161055361e-17
PF00672,4,1,0.042529092641885084,1.88093236706919e-19
PF00672,4,2,-0.007575647927830695,0.10827045266544483
PF00672,4,3,-0.09268010322924491,2.6256370485219925e-86
PF00672,4,4,-0.0662667381790807,6.355321116121411e-45
PF00672,4,5,-0.043147255091306125,5.629146084248289e-20
PF00672,4,6,-0.07308870534181279,2.7409069394991495e-54
PF00672,4,7,-0.015318007440170554,0.0011641639364254532
PF00672,4,8,-0.041597795701100435,1.1212651621452108e-18
PF00672,4,9,-0.08757308847284809,3.1701526104263135e-77
PF00672,4,10,-0.06394907193197509,5.973474484441595e-42
PF00672,4,11,-0.04428818014976229,5.80709243065974e-21
PF00672,5,0,-0.030313795849412697,1.294442921586448e-10
PF00672,5,1,-0.09019947704538063,7.862008116808356e-82
PF00672,5,2,-0.03945135754032239,5.924818615606015e-17
PF00672,5,3,-0.044131535298201206,7.95969528328586e-21
PF00672,5,4,-0.06536496692490008,9.386029323194425e-44
PF00672,5,5,-0.07134616520623299,8.267096568086753e-52
PF00672,5,6,-0.060630281068813775,7.075218776031571e-38
PF00672,5,7,-0.070948659228553,2.982411213856973e-51
PF00672,5,8,-0.03567406157942674,3.8757075757035606e-14
PF00672,5,9,-0.044118876236663905,8.164734736652329e-21
PF00672,5,10,-0.017024551294122715,0.00030694622728263396
PF00672,5,11,-0.06662006610941489,2.190820524261545e-45
PF00672,6,0,-0.07984307298234071,1.818548905195425e-64
PF00672,6,1,-0.1317320217590776,4.1409159151443e-173
PF00672,6,2,-0.08557654972114148,8.132332628656312e-74
PF00672,6,3,-0.04486984312044195,1.7836184485633174e-21
PF00672,6,4,-0.08480630052887124,1.600404663151456e-72
PF00672,6,5,-0.06895166328004555,1.685573081677943e-48
PF00672,6,6,-0.036670921326975595,7.447936257082745e-15
PF00672,6,7,-0.11273622105706849,4.964712026266949e-127
PF00672,6,8,-0.08471617583713564,2.2639549132770277e-72
PF00672,6,9,-0.08178328578082085,1.47542415620542e-67
PF00672,6,10,-0.0806352195147131,1.015866381789956e-65
PF00672,6,11,0.029813150191952076,2.588400800173693e-10
PF00672,7,0,-0.09582500367228457,3.6940173375193226e-92
PF00672,7,1,-0.10537708686234369,3.7873440460811814e-111
PF00672,7,2,-0.07629869521880839,5.168178006421487e-59
PF00672,7,3,-0.08689469815290259,4.659587439571747e-76
PF00672,7,4,-0.12690749361878595,1.0420757969146657e-160
PF00672,7,5,-0.11278090292079213,3.945654288078104e-127
PF00672,7,6,-0.07138599425164552,7.266908998317461e-52
PF00672,7,7,-0.11560495433361717,1.6140734629259896e-133
PF00672,7,8,-0.09838421195526573,4.565351246544592e-97
PF00672,7,9,-0.09088238490865203,4.736709456333271e-83
PF00672,7,10,-0.08896403255388723,1.1997596953184053e-79
PF00672,7,11,0.008940412761470956,0.05804569525105957
PF00672,8,0,-0.08722338008218632,1.2704213149079676e-76
PF00672,8,1,-0.13564886716526722,1.577001536522604e-183
PF00672,8,2,-0.07845107540252942,2.6991113293341324e-62
PF00672,8,3,-0.08052549492315147,1.5174823707803678e-65
PF00672,8,4,-0.12289254304288988,9.432844338796043e-151
PF00672,8,5,-0.10306627051830182,2.1889041594442997e-106
PF00672,8,6,-0.008284941435459247,0.0790220312621748
PF00672,8,7,-0.08019209287086775,5.119597674051439e-65
PF00672,8,8,-0.053400590164865036,9.460557999582497e-30
PF00672,8,9,-0.12096387779023132,4.371227501495099e-146
PF00672,8,10,-0.10352339781653118,2.5512432252217056e-107
PF00672,8,11,-0.11336631870879008,1.9281710336750642e-128
PF00672,9,0,-0.07720034267025891,2.2366604173569414e-60
PF00672,9,1,-0.0941805733258972,4.4871633681883756e-89
PF00672,9,2,-0.06668002422806615,1.8275682131262007e-45
PF00672,9,3,-0.06753232558741133,1.364681759548661e-46
PF00672,9,4,-0.08139960749265569,6.110136727430603e-67
PF00672,9,5,-0.06002747585042791,3.6848990804596607e-37
PF00672,9,6,-0.07950569135947458,6.159731934595473e-64
PF00672,9,7,-0.113398528033887,1.6323561825103999e-128
PF00672,9,8,-0.06400322123591796,5.104694034338642e-42
PF00672,9,9,-0.00384546798329876,0.4149466479501699
PF00672,9,10,-0.08987149654555784,3.0073469705660764e-81
PF00672,9,11,-0.06451962376085789,1.1327348969462798e-42
PF00672,10,0,-0.10467662551517223,1.079258676609097e-109
PF00672,10,1,-0.026560242553239438,1.7853688986761357e-08
PF00672,10,2,-0.10312012329901407,1.700103277084604e-106
PF00672,10,3,-0.04209782262897118,4.3202674552089244e-19
PF00672,10,4,-0.054971850570283906,1.98075671624941e-31
PF00672,10,5,-0.04751177835250097,6.918337861045032e-24
PF00672,10,6,-0.04062614569189791,6.9297315197942275e-18
PF00672,10,7,-0.0330879867939733,2.2769169662380193e-12
PF00672,10,8,-0.06889882415177624,1.9883855049708173e-48
PF00672,10,9,-0.0786366548592657,1.392958450661499e-62
PF00672,10,10,-0.06715309183888853,4.3469941670570146e-46
PF00672,10,11,-0.04977511829491951,4.636406501609051e-26
PF00672,11,0,-0.16869734978134576,3.884580546243392e-284
PF00672,11,1,0.0007673095668240326,0.8707821051993883
PF00672,11,2,-0.11564551388722163,1.3031581555183805e-133
