Protein family,Layer,Head,Correlation,P-value
PF20171,0,0,-0.5611172316800905,0.0
PF20171,0,1,-0.5974170543632983,0.0
PF20171,0,2,-0.5857433634617772,0.0
PF20171,0,3,-0.35280163582107943,0.0
PF20171,0,4,0.6460061808126395,0.0
PF20171,0,5,-0.011882845692712895,0.12241637424156326
PF20171,0,6,-0.14070713688240122,1.8278601857214363e-75
PF20171,0,7,-0.412389352338754,0.0
PF20171,0,8,-0.39135496708714124,0.0
PF20171,0,9,-0.756524150139874,0.0
PF20171,0,10,-0.11022756094133,7.718403545673125e-47
PF20171,0,11,-0.4146846819653778,0.0
PF20171,1,0,-0.7295572726974439,0.0
PF20171,1,1,-0.12625634178517348,5.2727382868157445e-61
PF20171,1,2,-0.6950563525089285,0.0
PF20171,1,3,-0.33919816787444784,0.0
PF20171,1,4,-0.6174489360677755,0.0
PF20171,1,5,-0.4770051290217995,0.0
PF20171,1,6,-0.5765646470682834,0.0
PF20171,1,7,-0.392925602165799,0.0
PF20171,1,8,-0.6955837214102975,0.0
PF20171,1,9,-0.7025424708249525,0.0
PF20171,1,10,-0.10561737541942484,3.9835233001776365e-43
PF20171,1,11,-0.4503219438248994,0.0
PF20171,2,0,-0.3671445659255398,0.0
PF20171,2,1,-0.5172559517300831,0.0
PF20171,2,2,-0.5800537147598176,0.0
PF20171,2,3,-0.451908523999319,0.0
PF20171,2,4,-0.006839177639408169,0.3739828050702705
PF20171,2,5,0.08328439339752665,2.1060217733116694e-27
PF20171,2,6,-0.2817604524350643,6.569036247935244e-306
PF20171,2,7,-0.4358258606730517,0.0
PF20171,2,8,-0.4838031789503856,0.0
PF20171,2,9,0.03677546922809873,1.734950188437277e-06
PF20171,2,10,-0.4828121684204313,0.0
PF20171,2,11,-0.6320531044598918,0.0
PF20171,3,0,-0.6672930239440144,0.0
PF20171,3,1,-0.5602897420578384,0.0
PF20171,3,2,-0.49089795160952315,0.0
PF20171,3,3,-0.1303693332187806,5.893340452644762e-65
PF20171,3,4,-0.4032843927401732,0.0
PF20171,3,5,-0.4866373799649443,0.0
PF20171,3,6,-0.4971842208596517,0.0
PF20171,3,7,-0.6481869799586962,0.0
PF20171,3,8,-0.08980383918264767,1.3161186979238345e-31
PF20171,3,9,-0.7130322266135796,0.0
PF20171,3,10,-0.65140923664701,0.0
PF20171,3,11,-0.5851421416963212,0.0
PF20171,4,0,-0.609782804656109,0.0
PF20171,4,1,-0.4184805258341511,0.0
PF20171,4,2,-0.573682220215322,0.0
PF20171,4,3,-0.5245807947163083,0.0
PF20171,4,4,-0.5919293611065102,0.0
PF20171,4,5,-0.40022470181125264,0.0
PF20171,4,6,-0.4287471438305776,0.0
PF20171,4,7,-0.3004380800868932,0.0
PF20171,4,8,-0.4348506855474581,0.0
PF20171,4,9,-0.40553039193569457,0.0
PF20171,4,10,-0.6374351784966017,0.0
PF20171,4,11,-0.6963676606544185,0.0
PF20171,5,0,-0.02541376459841293,0.0009528910471815233
PF20171,5,1,0.08085594516408792,6.436446692995032e-26
PF20171,5,2,-0.66629118346474,0.0
PF20171,5,3,-0.3449836202243967,0.0
PF20171,5,4,-0.5709639246458093,0.0
PF20171,5,5,-0.30312769976908394,0.0
PF20171,5,6,-0.4800770561583056,0.0
PF20171,5,7,-0.46892148313604587,0.0
PF20171,5,8,-0.06824927602277894,6.5605749927546175e-19
PF20171,5,9,-0.5702696154024122,0.0
PF20171,5,10,-0.2441092356535652,9.120815638958373e-228
PF20171,5,11,0.02969721106579946,0.00011282991191528031
PF20171,6,0,-0.5049897382444274,0.0
PF20171,6,1,-0.2957227884529818,0.0
PF20171,6,2,-0.4944298989106331,0.0
PF20171,6,3,-0.23307049102948021,2.990004738097881e-207
PF20171,6,4,-0.45236833283153677,0.0
PF20171,6,5,-0.612549686269825,0.0
PF20171,6,6,-0.6516799965912852,0.0
PF20171,6,7,-0.5023684821741593,0.0
PF20171,6,8,-0.5271362761083037,0.0
PF20171,6,9,-0.4407594992753023,0.0
PF20171,6,10,-0.46981705031402776,0.0
PF20171,6,11,0.2586553799466988,1.940720544984395e-256
PF20171,7,0,-0.3028774544979755,0.0
PF20171,7,1,-0.4965488220518989,0.0
PF20171,7,2,-0.6086892763012905,0.0
PF20171,7,3,-0.5338498248237095,0.0
PF20171,7,4,-0.5570764463228516,0.0
PF20171,7,5,-0.19994982200738196,5.926995544105965e-152
PF20171,7,6,-0.14279729806759936,1.088023128877045e-77
PF20171,7,7,-0.4612301774496836,0.0
PF20171,7,8,-0.49588048020000575,0.0
PF20171,7,9,-0.4299838189811208,0.0
PF20171,7,10,-0.5741784042829982,0.0
PF20171,7,11,0.006567750928959976,0.3932414875823651
PF20171,8,0,-0.6362811531349327,0.0
PF20171,8,1,-0.6499647516467981,0.0
PF20171,8,2,0.45870388621320224,0.0
PF20171,8,3,-0.4869744769812055,0.0
PF20171,8,4,-0.5882196300242896,0.0
PF20171,8,5,-0.4544342697071689,0.0
PF20171,8,6,0.2783751369974914,2.3602086553597863e-298
PF20171,8,7,-0.5512679594997127,0.0
PF20171,8,8,-0.1669681080203122,6.545962320470551e-106
PF20171,8,9,-0.4288293590476228,0.0
PF20171,8,10,-0.562515649636003,0.0
PF20171,8,11,-0.5094077620586176,0.0
PF20171,9,0,-0.5121779421603547,0.0
PF20171,9,1,-0.2889255896219492,0.0
PF20171,9,2,-0.5633441480485696,0.0
PF20171,9,3,-0.5671745841951695,0.0
PF20171,9,4,-0.5633924379637376,0.0
PF20171,9,5,-0.5253461838569171,0.0
PF20171,9,6,-0.3213989961521478,0.0
PF20171,9,7,-0.4267630820457041,0.0
PF20171,9,8,-0.601935740448462,0.0
PF20171,9,9,0.00763314018369653,0.32107593873014134
PF20171,9,10,-0.414483701904733,0.0
PF20171,9,11,-0.6044262938832808,0.0
PF20171,10,0,-0.44470771082090355,0.0
PF20171,10,1,-0.3739068418329427,0.0
PF20171,10,2,-0.39498115593305566,0.0
PF20171,10,3,-0.5978181468683696,0.0
PF20171,10,4,-0.6380883342424171,0.0
PF20171,10,5,-0.5223539238570001,0.0
PF20171,10,6,-0.5161335822057956,0.0
PF20171,10,7,-0.5525446456308077,0.0
PF20171,10,8,-0.6172197813702526,0.0
PF20171,10,9,-0.6196290007287182,0.0
PF20171,10,10,-0.5751979973579238,0.0
PF20171,10,11,-0.5615431841378643,0.0
PF20171,11,0,-0.5580398684706382,0.0
PF20171,11,1,-0.4793291956631165,0.0
PF20171,11,2,-0.5264911865136186,0.0
PF20171,11,3,-0.5960368242260049,0.0
PF20171,11,4,-0.5588813368281021,0.0
PF20171,11,5,-0.6191228425965823,0.0
PF20171,11,6,-0.5956251669687682,0.0
PF20171,11,7,-0.6775267387137064,0.0
PF20171,11,8,-0.5431485075321786,0.0
PF20171,11,9,0.5200585950259217,0.0
PF20171,11,10,-0.4637540485968491,0.0
PF20171,11,11,-0.605158434888918,0.0
