"FileName","NJRFScore","MLRFScore","NJCI","MLCI"
"PF00066_sc_0_0",0,0,0.119318594124006,0.113645087607968
"PF00066_sc_0_1",0,0,0.0917700967688238,0.088940041036271
"PF00066_sc_0_10",0.0198019801980198,0.0099009900990099,0.154200756085787,0.140094964817375
"PF00066_sc_0_11",0,0,0.0919714065952474,0.0857737172259537
"PF00066_sc_0_2",0,0,0.0883661256842645,0.0822891373100132
"PF00066_sc_0_3",0,0,0.109622989820934,0.102813877725413
"PF00066_sc_0_4",0.247524752475248,0.237623762376238,0.58059693508447,0.496091025876494
"PF00066_sc_0_5",0,0,0.091634627084344,0.0880931910284532
"PF00066_sc_0_6",0.0099009900990099,0,0.166072276522038,0.14661064833478
"PF00066_sc_0_7",0,0,0.0946826757557346,0.0895010179061359
"PF00066_sc_0_8",0,0,0.0925616282767581,0.0851636942010763
"PF00066_sc_0_9",0,0,0.0923496423941497,0.0837646180343695
"PF00066_sc_1_0",0,0,0.08681691017361,0.0793066870559192
"PF00066_sc_1_1",0,0,0.111914829107798,0.102745138480788
"PF00066_sc_1_10",0,0,0.109202979252926,0.100560672276057
"PF00066_sc_1_11",0,0,0.060313442463036,0.0613871226401965
"PF00066_sc_1_2",0,0,0.0905929543458256,0.0823321375141059
"PF00066_sc_1_3",0.0198019801980198,0.0198019801980198,0.153452022359357,0.140194247443014
"PF00066_sc_1_4",0,0,0.0866866884835548,0.0825105013666366
"PF00066_sc_1_5",0,0,0.0905334184286525,0.0828201239328846
"PF00066_sc_1_6",0,0,0.0941558398232356,0.0883176252594921
"PF00066_sc_1_7",0,0,0.0879606045033273,0.0825996456706695
"PF00066_sc_1_8",0,0,0.0861782390495335,0.0801020087444764
"PF00066_sc_1_9",0,0,0.0839329094572503,0.0828242047297618
"PF00066_sc_10_0",0,0,0.0892460605438534,0.0861893824207485
"PF00066_sc_10_1",0,0,0.0884919764476801,0.0807537859009552
"PF00066_sc_10_10",0,0,0.0831134805730115,0.0798572367854849
"PF00066_sc_10_11",0,0,0.0498030723329518,0.0477907795403397
"PF00066_sc_10_2",0,0,0.0868352567958764,0.0828526270788653
"PF00066_sc_10_3",0,0,0.0804216332960526,0.0764235854353111
"PF00066_sc_10_4",0,0,0.0881770682003797,0.0809998024626103
"PF00066_sc_10_5",0,0,0.084432020474253,0.0821528959008043
"PF00066_sc_10_6",0,0,0.0853552283860393,0.0814500225616721
"PF00066_sc_10_7",0,0,0.0886059367548932,0.0837352758915307
"PF00066_sc_10_8",0,0,0.0638950503608015,0.061034999804927
"PF00066_sc_10_9",0,0,0.0856618827015481,0.0809787497121991
"PF00066_sc_11_0",0,0,0.0861235874841534,0.0825869651363463
"PF00066_sc_11_1",0,0,0.0843685506671131,0.0805988447457423
"PF00066_sc_11_10",0,0,0.0868775677795488,0.0810722668953057
"PF00066_sc_11_11",0,0,0.0722886819941754,0.0661646798970047
"PF00066_sc_11_2",0,0,0.0882673762098286,0.0857282681839451
"PF00066_sc_11_3",0,0,0.071422422762064,0.0660788609227521
"PF00066_sc_11_4",0,0,0.068378778222531,0.0677267325912404
"PF00066_sc_11_5",0,0,0.0854359725922023,0.0786537379544331
"PF00066_sc_11_6",0,0,0.0853829088549642,0.0825599946422071
"PF00066_sc_11_7",0,0,0.0846752899677025,0.0803579115865641
"PF00066_sc_11_8",0,0,0.0527940477366296,0.0476133738266497
"PF00066_sc_11_9",0.178217821782178,0.158415841584158,0.345393064287487,0.299824231068298
"PF00066_sc_2_0",0,0,0.0907061584599854,0.0813045854678241
"PF00066_sc_2_1",0,0,0.0815144134079468,0.0794481941553072
"PF00066_sc_2_10",0,0,0.0935228769491324,0.0858727319444666
"PF00066_sc_2_11",0,0,0.0857348724773251,0.0794913455122136
"PF00066_sc_2_2",0,0,0.0866812374543787,0.0812564834328743
"PF00066_sc_2_3",0,0,0.0895737689194941,0.0822282658813029
"PF00066_sc_2_4",0,0,0.100293714515435,0.09046817821315
"PF00066_sc_2_5",0,0,0.115770776717411,0.105409992904876
"PF00066_sc_2_6",0,0,0.0877039612633332,0.08094093326626
"PF00066_sc_2_7",0,0,0.0935883135679878,0.0842533827237464
"PF00066_sc_2_8",0,0,0.0851758462516024,0.0824056462137574
"PF00066_sc_2_9",0.0396039603960396,0.0594059405940594,0.195182498382128,0.171874895524323
"PF00066_sc_3_0",0,0,0.0856959371116693,0.0798548776434003
"PF00066_sc_3_1",0,0,0.0869773991885494,0.0775427100615433
"PF00066_sc_3_10",0,0,0.058744010430533,0.0562994190362421
"PF00066_sc_3_11",0,0,0.0891680968643517,0.0840205197282858
"PF00066_sc_3_2",0,0,0.085621181536022,0.079527321273703
"PF00066_sc_3_3",0,0,0.0924606312443629,0.0842834962873971
"PF00066_sc_3_4",0,0,0.0907330222087459,0.0835602793752965
"PF00066_sc_3_5",0,0,0.08861557200982,0.0831764573224305
"PF00066_sc_3_6",0,0,0.0468177527959157,0.0459287608841027
"PF00066_sc_3_7",0,0,0.0878691167288436,0.0815025604050507
"PF00066_sc_3_8",0,0,0.269374693806465,0.293242005636834
"PF00066_sc_3_9",0,0,0.0891393288571365,0.081721384815773
"PF00066_sc_4_0",0,0,0.0871411399609043,0.0797342192263076
"PF00066_sc_4_1",0,0,0.10567480685011,0.0985381324163968
"PF00066_sc_4_10",0,0,0.0685678778046841,0.0633785166752535
"PF00066_sc_4_11",0,0,0.0869586830892055,0.083099134825422
"PF00066_sc_4_2",0,0,0.0913265127713953,0.0877673897942237
"PF00066_sc_4_3",0,0,0.0810390869542814,0.0761994759860935
