FileName1,FileName2,RF_1,CI_1,RF_2,CI_2,RF_3,CI_3,RF_4,CI_4,RF_5,CI_5,RF_mean,RF_var,CI_mean,CI_var,FileName1_num,FileName2_num,ProteinFamily
PF00066_0,PF00066_sc0,0.97029702970297,0.972038987348605,1.0,1.0,0.762376237623762,0.851293104792608,1.0,1.0,0.97029702970297,0.972038987348605,0.9405940594059403,0.10072767301671201,0.9590742158979637,0.06185219906634835,0,0,PF00066
PF00066_1,PF00066_sc1,0.831683168316832,0.927797221599629,0.861386138613861,0.924796597212514,0.94059405940594,0.966231446208864,0.831683168316832,0.887438831369853,0.841584158415842,0.887067364285181,0.8613861386138615,0.04590900245294863,0.9186662921352081,0.03300395787780123,1,1,PF00066
PF00066_2,PF00066_sc2,0.861386138613861,0.903995606491184,0.900990099009901,0.944397437354853,0.742574257425743,0.821305731294156,0.831683168316832,0.908768781970373,0.792079207920792,0.90039476766018,0.8257425742574259,0.06127425127431983,0.8957724649541493,0.045187311155865585,2,2,PF00066
PF00066_3,PF00066_sc3,0.811881188118812,0.884289517086144,0.861386138613861,0.89980604293596,0.792079207920792,0.881521939667288,0.851485148514851,0.889790904556778,0.673267326732673,0.802102933020306,0.7980198019801977,0.07527357548019091,0.8715022674532953,0.03942002396583023,3,3,PF00066
PF00066_4,PF00066_sc4,0.831683168316832,0.842544037679724,0.871287128712871,0.893056648403058,0.702970297029703,0.82432908765512,0.772277227722772,0.823186769011279,0.782178217821782,0.877408181062885,0.792079207920792,0.06378266696398573,0.8521049447624132,0.0316877968207431,4,4,PF00066
PF00066_5,PF00066_sc5,0.792079207920792,0.85675743714576,0.861386138613861,0.899103977191119,0.752475247524752,0.858753865932939,0.801980198019802,0.865790917632475,0.782178217821782,0.862685045264181,0.7980198019801978,0.03997352324393338,0.8686182486332947,0.017396560318858396,5,5,PF00066
PF00066_6,PF00066_sc6,0.841584158415842,0.898692388662757,0.841584158415842,0.896104705186193,0.772277227722772,0.863794770179847,0.782178217821782,0.867559716912912,0.782178217821782,0.828838734491059,0.803960396039604,0.0345826716763825,0.8709980630865536,0.0284536367946728,6,6,PF00066
PF00066_7,PF00066_sc7,0.693069306930693,0.762258720329716,0.772277227722772,0.830267428428173,0.732673267326733,0.814436715166676,0.752475247524752,0.819301018144897,0.811881188118812,0.84052048627366,0.7524752475247524,0.044278573811877026,0.8133568736686243,0.03029582849954123,7,7,PF00066
PF00066_8,PF00066_sc8,0.613861386138614,0.724081097310413,0.693069306930693,0.763191747615321,0.633663366336634,0.756455383941006,0.693069306930693,0.778337477554851,0.702970297029703,0.811840416572258,0.6673267326732675,0.04058198323152306,0.7667812245987699,0.032041714859050184,8,8,PF00066
PF00066_9,PF00066_sc9,0.732673267326733,0.784266048819879,0.782178217821782,0.805173747894726,0.742574257425743,0.803009946189212,0.762376237623762,0.810711215592326,0.712871287128713,0.774338225777103,0.7465346534653465,0.026751002150705343,0.7954998368546491,0.015454644262623144,9,9,PF00066
PF00066_10,PF00066_sc10,0.782178217821782,0.841733978537354,0.881188118811881,0.91450493213034,0.752475247524752,0.840714734320433,0.831683168316832,0.907360734127775,0.821782178217822,0.86918653586265,0.8138613861386139,0.04920702431599687,0.8747001829957105,0.03508315591804342,10,10,PF00066
PF00066_11,PF00066_sc11,0.732673267326733,0.811939539133228,0.801980198019802,0.865045229118935,0.742574257425743,0.799686326303838,0.792079207920792,0.850881537524512,0.732673267326733,0.804578408640442,0.7603960396039606,0.03386659678512272,0.826426208144191,0.029545317391986833,11,11,PF00066
PF00168_0,PF00168_sc0,1.0,0.999999999999998,0.87843137254902,0.886213316630973,0.976470588235294,0.970096092722798,0.901960784313726,0.894217415956981,0.96078431372549,0.964282757708468,0.9435294117647061,0.05132612780657667,0.9429619166038437,0.050101433808731,0,0,PF00168
PF00168_1,PF00168_sc1,0.894117647058824,0.924361568467703,0.831372549019608,0.875759528161824,0.807843137254902,0.83877576335568,0.815686274509804,0.831830922410115,0.854901960784314,0.883814762679699,0.8407843137254905,0.03481151532732905,0.8709085090150042,0.03743963292335892,1,1,PF00168
PF00168_2,PF00168_sc2,0.83921568627451,0.883105761496987,0.870588235294118,0.870271313469727,0.831372549019608,0.889575895663238,0.807843137254902,0.810724266045977,0.76078431372549,0.807407628302716,0.8219607843137255,0.04090479940519329,0.8522169729957291,0.040016520556323563,2,2,PF00168
PF00168_3,PF00168_sc3,0.713725490196078,0.761754765692084,0.72156862745098,0.786244572737122,0.741176470588235,0.798942788701867,0.745098039215686,0.798966249418022,0.698039215686274,0.771593821632995,0.7239215686274505,0.01952925427135495,0.783500439636418,0.016581839244388975,3,3,PF00168
PF00168_4,PF00168_sc4,0.674509803921569,0.71485239328355,0.666666666666667,0.735537261650073,0.682352941176471,0.687503335595447,0.666666666666667,0.7555909167417,0.674509803921569,0.720787262166515,0.6729411764705885,0.00656203942379674,0.7228542338874571,0.025251422894186196,4,4,PF00168
PF00168_5,PF00168_sc5,0.682352941176471,0.730921418207738,0.666666666666667,0.719167777601632,0.72156862745098,0.745042258775797,0.67843137254902,0.698025220933962,0.647058823529412,0.64712133693666,0.67921568627451,0.02736681776057687,0.7080556024911578,0.03817044661789237,5,5,PF00168
PF00168_6,PF00168_sc6,0.619607843137255,0.668407661685316,0.631372549019608,0.715834214999977,0.654901960784314,0.660568245719412,0.670588235294118,0.680106661557566,0.682352941176471,0.711908552418343,0.6517647058823532,0.026218846510504885,0.6873650672761228,0.025214144645916276,6,6,PF00168
PF00168_7,PF00168_sc7,0.635294117647059,0.67176850319908,0.611764705882353,0.669367820208901,0.666666666666667,0.654657946068726,0.662745098039216,0.659617931225579,0.666666666666667,0.654390946914123,0.6486274509803923,0.024427312160623542,0.6619606295232818,0.008172795966626756,7,7,PF00168
PF00168_8,PF00168_sc8,0.647058823529412,0.663671577912366,0.631372549019608,0.680393397810075,0.654901960784314,0.653123222696395,0.647058823529412,0.696550871114525,0.643137254901961,0.706702588126712,0.6447058823529415,0.008591726392237911,0.6800883315320146,0.02222641346997522,8,8,PF00168
PF00168_9,PF00168_sc9,0.670588235294118,0.673596773067766,0.615686274509804,0.657660187121427,0.654901960784314,0.651727352332699,0.694117647058824,0.69482509912664,0.666666666666667,0.698799344771579,0.6603921568627454,0.028764111091595834,0.6753217512840222,0.021231933693303486,9,9,PF00168
PF00168_10,PF00168_sc10,0.658823529411765,0.653588842365446,0.631372549019608,0.658173913177899,0.670588235294118,0.667077734846058,0.682352941176471,0.678386974747052,0.654901960784314,0.659747640829763,0.6596078431372552,0.019091233638648078,0.6633950211932437,0.00968304635477286,10,10,PF00168
PF00168_11,PF00168_sc11,0.666666666666667,0.69371779691726,0.650980392156863,0.688714614906066,0.650980392156863,0.660611254075632,0.690196078431373,0.698534534456635,0.647058823529412,0.638161600421494,0.6611764705882356,0.017885104707437538,0.6759479601554175,0.02574845357515871,11,11,PF00168
PF00484_0,PF00484_sc0,0.987951807228916,0.981110817263477,0.987951807228916,0.981110817263477,0.987951807228916,0.981110817263477,0.987951807228916,0.981110817263477,0.987951807228916,0.981110817263477,0.9879518072289158,1.2412670766236366e-16,0.9811108172634772,1.2412670766236366e-16,0,0,PF00484
