"FileName","NJRFScore","MLRFScore","NJCI","MLCI"
"PF00066_sc_0_0",0,0,0.129646951751233,0.114582270275524
"PF00066_sc_0_1",0,0,0.0929598611190631,0.0858054983609408
"PF00066_sc_0_10",0.0099009900990099,0,0.150471955731983,0.134150256484344
"PF00066_sc_0_11",0,0,0.0909207695481391,0.0844742708439456
"PF00066_sc_0_2",0,0,0.0908550176445466,0.0837783195792154
"PF00066_sc_0_3",0,0,0.116396299306268,0.109617638504885
"PF00066_sc_0_4",0.237623762376238,0.247524752475248,0.572116652592212,0.489256892163468
"PF00066_sc_0_5",0,0,0.0872235243289126,0.0847834015001815
"PF00066_sc_0_6",0.0297029702970297,0.0099009900990099,0.178419762098685,0.166192960599758
"PF00066_sc_0_7",0,0,0.0944756153583897,0.0876128406726758
"PF00066_sc_0_8",0,0,0.0907866402019988,0.0834256521182114
"PF00066_sc_0_9",0,0,0.0894345459939937,0.085178421165865
"PF00066_sc_1_0",0,0,0.0934068625159372,0.0838016584906863
"PF00066_sc_1_1",0,0,0.110382251373578,0.101467191216724
"PF00066_sc_1_10",0,0,0.115589840714174,0.112070456203297
"PF00066_sc_1_11",0,0,0.0665073213520163,0.0628849508478404
"PF00066_sc_1_2",0,0,0.0869860267732119,0.0803997722320586
"PF00066_sc_1_3",0.0198019801980198,0.0198019801980198,0.154473322264954,0.149063804114563
"PF00066_sc_1_4",0,0,0.0902569140646015,0.0867963837460236
"PF00066_sc_1_5",0,0,0.0933176440274924,0.0858881222730676
"PF00066_sc_1_6",0,0,0.0978859759236006,0.0941728779578465
"PF00066_sc_1_7",0,0,0.0895023490614824,0.0811164437419545
"PF00066_sc_1_8",0,0,0.0858763610768743,0.0814341876935747
"PF00066_sc_1_9",0,0,0.0875194041444214,0.082800846664878
"PF00066_sc_10_0",0,0,0.0930995439978065,0.083707305600746
"PF00066_sc_10_1",0,0,0.0878930511097962,0.0831739344885624
"PF00066_sc_10_10",0,0,0.0831334822904247,0.079695634952106
"PF00066_sc_10_11",0,0,0.0542732535754193,0.050852729529792
"PF00066_sc_10_2",0,0,0.086967109073989,0.077449654148029
"PF00066_sc_10_3",0,0,0.0837158302330966,0.0779642259771555
"PF00066_sc_10_4",0,0,0.0867769282544538,0.0799152089368849
"PF00066_sc_10_5",0,0,0.083400903685108,0.0782179408067027
"PF00066_sc_10_6",0,0,0.0861523897901155,0.0793707301406313
"PF00066_sc_10_7",0,0,0.087470334600024,0.0831142562403913
"PF00066_sc_10_8",0,0,0.0705749979791222,0.0694368993419156
"PF00066_sc_10_9",0,0,0.0872509628088021,0.0809085620277068
"PF00066_sc_11_0",0,0,0.0839226278451049,0.0785713296308867
"PF00066_sc_11_1",0,0,0.0887959855902737,0.0809306966969794
"PF00066_sc_11_10",0,0,0.0872728180448236,0.0814321962092709
"PF00066_sc_11_11",0,0,0.0699089124697854,0.0650659478043439
"PF00066_sc_11_2",0,0,0.089183726911888,0.0818153364505435
"PF00066_sc_11_3",0,0,0.071313260238158,0.0685316688879581
"PF00066_sc_11_4",0,0,0.072370511945042,0.0721945012210166
"PF00066_sc_11_5",0,0,0.0855640222380366,0.0821801906078563
"PF00066_sc_11_6",0,0,0.0856843429218677,0.0804816787386335
"PF00066_sc_11_7",0,0,0.0869922043372777,0.0826954487616177
"PF00066_sc_11_8",0,0,0.0578118282909944,0.058333798048825
