Protein family,Layer,Correlation,P value
PF03463,0,0.013428725603842274,0.0011547452228527957
PF03463,1,-0.022534880591090302,4.924442943479325e-08
PF03463,2,-0.003706358749461759,0.36976013795221063
PF03463,3,0.061435435032690326,4.371531679461569e-50
PF03463,4,0.0835531279717454,3.2194142111682525e-91
PF03463,5,0.14449650602304157,1.082477310256547e-270
PF03463,6,0.14241864764954068,6.042795378950742e-263
PF03463,7,0.10076549393985954,5.4199244706980186e-132
PF03463,8,0.06718486034597256,1.4426045783611286e-59
PF03463,9,0.04769140425943378,7.5871801720863e-31
PF03463,10,0.025509229911383886,6.653869154472324e-10
PF03463,11,0.03997777911507454,3.7291938249719293e-22
