Protein family,Layer,Head,Correlation,P-value
PF00672,0,0,-0.15708540172761282,3.515952716983339e-246
PF00672,0,1,-0.17865321845727553,0.0
PF00672,0,2,-0.1187918930419623,6.375674388318845e-141
PF00672,0,3,-0.20394718009564022,0.0
PF00672,0,4,0.06174297702839998,3.221870941102994e-39
PF00672,0,5,-0.0431731430891541,5.3498187253510934e-20
PF00672,0,6,-0.16181734762899314,2.6437483993273196e-261
PF00672,0,7,-0.21993655789075042,0.0
PF00672,0,8,-0.22373769929379692,0.0
PF00672,0,9,-0.05662046633654224,3.0420781486506826e-33
PF00672,0,10,-0.20403365939989423,0.0
PF00672,0,11,-0.21503697265021793,0.0
PF00672,1,0,-0.13299927472562947,1.9080413190841713e-176
PF00672,1,1,-0.12749138601094173,3.4869766953508868e-162
PF00672,1,2,-0.02508295297070466,1.0475577704345233e-07
PF00672,1,3,-0.10598887657798015,1.9935237591048031e-112
PF00672,1,4,-0.1996871487538788,0.0
PF00672,1,5,-0.20770720720807867,0.0
PF00672,1,6,-0.21148119226735806,0.0
PF00672,1,7,-0.1136090693026208,5.489046708780717e-129
PF00672,1,8,-0.20992500432175695,0.0
PF00672,1,9,-0.08548703429931895,1.1513479964679603e-73
PF00672,1,10,-0.1263526360047177,2.591296268126872e-159
PF00672,1,11,-0.2263937939013902,0.0
PF00672,2,0,0.03255481593463011,5.0822973296175855e-12
PF00672,2,1,-0.2706848349966952,0.0
PF00672,2,2,0.009170000566581437,0.05189220491773154
PF00672,2,3,-0.09556547354168918,1.1426096802023463e-91
PF00672,2,4,-0.08962398847750588,8.250032352216858e-81
PF00672,2,5,0.1293640444972255,5.7981409392005595e-167
PF00672,2,6,-0.10155108894615317,2.5366128194644917e-103
PF00672,2,7,-0.10411137591002094,1.584501166052262e-108
PF00672,2,8,-0.1706228436258107,1.0454223136389063e-290
PF00672,2,9,-0.08501365702594278,7.195030917068348e-73
PF00672,2,10,-0.19243462693098592,0.0
PF00672,2,11,-0.13884948061740826,2.812994365768155e-192
PF00672,3,0,-0.05562069722455682,3.884848471327586e-32
PF00672,3,1,0.1296711109190699,9.392371061434017e-168
PF00672,3,2,-0.03281160305674944,3.4577544199353787e-12
PF00672,3,3,0.12602410413388646,1.7254253050080395e-158
PF00672,3,4,-0.22033109448664726,0.0
PF00672,3,5,-0.13604749972287933,1.317395833200504e-184
PF00672,3,6,-0.1968931396713275,0.0
PF00672,3,7,0.01241443688303927,0.008491164205669196
PF00672,3,8,0.07760886989379744,5.326064122409735e-61
PF00672,3,9,-0.040273189265890894,1.3289994332544352e-17
PF00672,3,10,-0.06868099111304801,3.9239763557445086e-48
PF00672,3,11,0.11271131650735375,5.642721554234515e-127
PF00672,4,0,-0.021461116235962023,5.36066423107633e-06
PF00672,4,1,-0.030283337457618773,1.3506077039322146e-10
PF00672,4,2,-0.11292991371656329,1.8326702068826521e-127
PF00672,4,3,-0.04285196169270102,1.0037992408987458e-19
PF00672,4,4,-0.04736838153099522,9.426834285397265e-24
PF00672,4,5,-0.05711595958096493,8.465954144618355e-34
PF00672,4,6,-0.045609539887587494,3.889217238704079e-22
PF00672,4,7,-0.028387363706555303,1.7531731609351507e-09
PF00672,4,8,-0.08186799976368468,1.0771182917687538e-67
PF00672,4,9,-0.09237765166758592,9.366702815518265e-86
PF00672,4,10,-0.11801042543482214,4.355142029000194e-139
