Protein family,Layer,Correlation,P value
PF06427,0,0.09920370696138119,1.3218874366078402e-53
PF06427,1,0.09472237984247561,5.2185532613349345e-49
PF06427,2,0.13295670679864025,3.523785967516775e-95
PF06427,3,0.11052123895303088,3.587249209238558e-66
PF06427,4,0.0866485208839605,2.8722310618460766e-41
PF06427,5,0.05545995743252109,7.802060283150292e-18
PF06427,6,0.054999320915179256,1.452031623690371e-17
PF06427,7,0.051773589526138336,9.75727450157378e-16
PF06427,8,0.04853142145140996,5.215290801856234e-14
PF06427,9,0.05284171326237015,2.4900390028859894e-16
PF06427,10,0.06289240707829878,1.7136717135351983e-22
PF06427,11,0.06789935554485212,5.894547837873746e-26
