Protein family,Layer,Head,Correlation,P-value
PF07677,0,0,-0.21001017611666203,0.0
PF07677,0,1,-0.27958661711486466,0.0
PF07677,0,2,-0.23027606348126517,0.0
PF07677,0,3,-0.27687134854279427,0.0
PF07677,0,4,-0.013467340914529603,0.00898312105199146
PF07677,0,5,-0.14324023693871316,1.0961375706681305e-171
PF07677,0,6,-0.24158970351928852,0.0
PF07677,0,7,-0.3155199004345556,0.0
PF07677,0,8,-0.29962288361796807,0.0
PF07677,0,9,-0.12188789909192362,1.6073771775534177e-124
PF07677,0,10,-0.17533944614773916,1.5268139194266405e-257
PF07677,0,11,-0.28943524064631004,0.0
PF07677,1,0,-0.1625728272479644,3.225463329323431e-221
PF07677,1,1,-0.17720802746216066,4.19804790123682e-263
PF07677,1,2,-0.10087473782734858,1.0620069759100116e-85
PF07677,1,3,-0.20491159231351214,0.0
PF07677,1,4,-0.14060273037431748,1.9572312580906391e-165
PF07677,1,5,-0.11628859113722424,1.91369189029812e-113
PF07677,1,6,-0.07213030255630787,1.3338797238065752e-44
PF07677,1,7,-0.1045567907470233,5.797348012122747e-92
PF07677,1,8,-0.13370488074788553,1.1825119125860377e-149
PF07677,1,9,-0.1089211206805316,1.1063740699231196e-99
PF07677,1,10,-0.05123893702030795,2.6105882460944775e-23
PF07677,1,11,-0.30860188239442693,0.0
PF07677,2,0,-0.20803501569583377,0.0
PF07677,2,1,-0.39514387497424136,0.0
PF07677,2,2,-0.1785288954516886,4.512783513961838e-267
PF07677,2,3,-0.22053801246480703,0.0
PF07677,2,4,-0.1219046107375,1.4868311648488485e-124
PF07677,2,5,-0.1479317069489564,4.176283385271368e-183
PF07677,2,6,-0.2995852474802839,0.0
PF07677,2,7,-0.2631335576161501,0.0
PF07677,2,8,-0.26133551016837314,0.0
PF07677,2,9,-0.32878534726322256,0.0
PF07677,2,10,-0.31246930170790044,0.0
PF07677,2,11,-0.17003146848269726,4.355208092015721e-242
PF07677,3,0,-0.14918687538317282,3.1672962127878396e-186
PF07677,3,1,0.07750428388199784,3.059737045678951e-51
PF07677,3,2,-0.20379129983260416,0.0
PF07677,3,3,-0.2007432866988831,0.0
PF07677,3,4,-0.2961940235984097,0.0
PF07677,3,5,-0.32374183260473394,0.0
PF07677,3,6,-0.35848433686461967,0.0
PF07677,3,7,-0.16863212043108972,4.263368100339067e-238
PF07677,3,8,0.1748965088255443,3.109941442637505e-256
PF07677,3,9,-0.11264593434293155,1.5889741120317322e-106
PF07677,3,10,-0.26890673691144845,0.0
PF07677,3,11,-0.24358230693884778,0.0
PF07677,4,0,-0.16774714715333694,1.3664224183022727e-235
PF07677,4,1,0.019811393969462274,0.00012121292328973266
PF07677,4,2,-0.2293670600765718,0.0
PF07677,4,3,-0.24289584865074912,0.0
PF07677,4,4,-0.17153661934244055,2.0303977381887603e-246
PF07677,4,5,-0.17048512750468295,2.1764584781653428e-243
PF07677,4,6,-0.20682821617444822,0.0
PF07677,4,7,-0.1199924980879411,1.035402090074189e-120
PF07677,4,8,-0.08111441384438424,5.712216119723156e-56
PF07677,4,9,-0.22658244858064472,0.0
PF07677,4,10,-0.20169579693493103,0.0
PF07677,4,11,-0.11708096864187882,5.583582409157908e-115
PF07677,5,0,-0.1402585978131022,1.254462940982469e-164
PF07677,5,1,-0.14707647497779436,5.382566644263946e-181
PF07677,5,2,-0.17355250982415568,2.7735216739122876e-252
PF07677,5,3,-0.15116858092634552,3.300308614401592e-191
PF07677,5,4,-0.16376110716215325,1.7774854969703113e-224
PF07677,5,5,0.01119713528481381,0.02983755094370821
PF07677,5,6,-0.16311696990691568,1.0457176530683312e-222
PF07677,5,7,-0.19144694676626023,1.5164792549929706e-307
PF07677,5,8,-0.08731171493714404,1.361762945664941e-64
PF07677,5,9,-0.1559450478591977,1.68917861979511e-203
PF07677,5,10,-0.16291297463973048,3.7871315192842435e-222
PF07677,5,11,-0.03518180264373606,8.661426380183115e-12
PF07677,6,0,-0.19554572809707058,0.0
PF07677,6,1,-0.23582994003668772,0.0
PF07677,6,2,-0.20057927875588918,0.0
PF07677,6,3,-0.12789529756183315,5.348411481845228e-137
PF07677,6,4,-0.1978992118636289,0.0
PF07677,6,5,-0.09700267077861656,2.32482936019161e-79
PF07677,6,6,-0.12397861935589127,8.580507107079437e-129
PF07677,6,7,-0.2210099154135553,0.0
PF07677,6,8,-0.20234697931209897,0.0
PF07677,6,9,-0.20588631092534787,0.0
PF07677,6,10,-0.18718147507979874,7.576851029590912e-294
PF07677,6,11,0.11527834424185755,1.6726614611893527e-111
PF07677,7,0,-0.25424444984084216,0.0
PF07677,7,1,-0.21995181265359204,0.0
PF07677,7,2,-0.20844268032407454,0.0
PF07677,7,3,-0.22790409306121043,0.0
PF07677,7,4,-0.25415179200955945,0.0
PF07677,7,5,-0.2537265145204579,0.0
PF07677,7,6,-0.02067049227242691,6.062348094428191e-05
PF07677,7,7,-0.20635388395633755,0.0
PF07677,7,8,-0.22544837070063142,0.0
PF07677,7,9,-0.26431243711470875,0.0
PF07677,7,10,-0.18945858529570683,4.0523402289915805e-301
PF07677,7,11,0.08115109305385335,5.100925497212199e-56
