Protein family,Layer,Correlation,P value
PF00699,0,0.3967929277531287,0.0
PF00699,1,0.49466165121624645,0.0
PF00699,2,0.6227376443464814,0.0
PF00699,3,0.6401975319730779,0.0
PF00699,4,0.643908565558387,0.0
PF00699,5,0.590537942919651,0.0
PF00699,6,0.579802402880371,0.0
PF00699,7,0.5835234573710028,0.0
PF00699,8,0.5880370669261663,0.0
PF00699,9,0.6102962984346527,0.0
PF00699,10,0.634582365388533,0.0
PF00699,11,0.6542162075037161,0.0
