Protein family,Layer,Correlation,P value
PF13466,0,0.39205681355657074,9.377097792565616e-108
PF13466,1,0.4228123201695837,8.276608170754702e-127
PF13466,2,0.45441851284510293,1.4274224914801184e-148
PF13466,3,0.3969393629826973,1.2016828361123753e-110
PF13466,4,0.3188645690079433,6.57063354577621e-70
PF13466,5,0.295469573948774,7.834267288023467e-60
PF13466,6,0.30054100082133456,6.132271836975946e-62
PF13466,7,0.30698756458911425,1.1176487950837286e-64
PF13466,8,0.342021404856066,8.21369199421124e-81
PF13466,9,0.3841754352438561,3.456379954511318e-103
PF13466,10,0.38359476925069247,7.415355518811945e-103
PF13466,11,0.37733834640106284,2.509488314611176e-99
