Protein family,Layer,Correlation,P value
PF00672,0,0.07042207940587923,1.6140395301346478e-50
PF00672,1,0.0767141780514509,1.2215769473622808e-59
PF00672,2,0.0963336366074917,4.003993418573995e-93
PF00672,3,0.08009310877177994,7.338430844833008e-65
PF00672,4,0.05449661490290685,6.453134248688241e-31
PF00672,5,0.03627656620094507,1.4378063002799187e-14
PF00672,6,0.030744720368324728,7.066431164987206e-11
PF00672,7,0.014952751266841322,0.0015240100657833904
PF00672,8,-0.004458599243529607,0.34455604043217125
PF00672,9,-0.01968454630208543,3.000714940751301e-05
PF00672,10,-0.029401744011919393,4.536750202714846e-10
PF00672,11,-0.047491874721982914,7.222300815356512e-24
