Protein family,Layer,Correlation,P value
PF00699,0,0.20520754454281767,0.0
PF00699,1,0.12654446446528014,2.20132273759067e-305
PF00699,2,0.16573008729540348,0.0
PF00699,3,0.14325066614111526,0.0
PF00699,4,0.10282018044516235,8.710902283868248e-202
PF00699,5,0.08839372104067508,1.8227215220087426e-149
PF00699,6,0.10196157283014062,1.8999638074556545e-198
PF00699,7,0.09797433912263563,2.5676417229310353e-183
PF00699,8,0.0869816942470383,8.944246633923884e-145
PF00699,9,0.09656166709261524,4.198390267173605e-178
PF00699,10,0.0905186353714051,1.1413659732328334e-156
PF00699,11,0.12463689526573413,3.065082527844915e-296
