Protein family,Layer,Correlation,P value
PF14317,0,0.2608361350202718,1.5175935151380527e-306
PF14317,1,0.25152997570633995,1.6817244274327052e-284
PF14317,2,0.24203741972395323,6.013472286459968e-263
PF14317,3,0.2191872489011339,7.554950188944957e-215
PF14317,4,0.20535394578285673,2.8513302703836932e-188
PF14317,5,0.2096398716325355,2.647568180243023e-196
PF14317,6,0.21715029970360272,8.140842784771676e-211
PF14317,7,0.22001538425457864,1.6865108527361507e-216
PF14317,8,0.2278482827914422,1.8574493769490656e-232
PF14317,9,0.22055682986975778,1.3921406382156946e-217
PF14317,10,0.22493771953461986,1.8646760532056714e-226
PF14317,11,0.23414802789334604,9.666642353963257e-246
