Protein family,Layer,Head,Correlation,P-value
PF07498,0,0,-0.1562309160531465,4.598990865325436e-60
PF07498,0,1,-0.19396843529209765,3.4836284444990386e-92
PF07498,0,2,-0.27532426786349457,2.1498113846419908e-187
PF07498,0,3,-0.2866472653776603,1.2336156364764549e-203
PF07498,0,4,-0.2550089102192484,3.81931180686791e-160
PF07498,0,5,-0.3207378698129887,2.885331009298846e-257
PF07498,0,6,-0.14292003264785585,1.845107436348811e-50
PF07498,0,7,-0.3394941668838473,6.250765174128198e-290
PF07498,0,8,-0.3159507985681327,2.6977570395121144e-249
PF07498,0,9,-0.15474066981408638,6.053155747039051e-59
PF07498,0,10,-0.31006373199351017,1.079874103282539e-239
PF07498,0,11,-0.2816286915154207,2.421318859451304e-196
PF07498,1,0,-0.014750136104334746,0.12504926161677207
PF07498,1,1,-0.3004247768249487,1.9291797520236613e-224
PF07498,1,2,-0.06277774559562503,6.378970078689345e-11
PF07498,1,3,-0.15542791693857555,1.8500420648462593e-59
PF07498,1,4,-0.1052685619677774,4.920714321854856e-28
PF07498,1,5,-0.06836328834996948,1.1007179125039408e-12
PF07498,1,6,0.12441794570052284,1.4225174253703692e-38
PF07498,1,7,-0.12553672327905413,3.034779548509728e-39
PF07498,1,8,-0.029865318862589616,0.001894270924219966
PF07498,1,9,-0.09309253800120029,2.9687252230184694e-22
PF07498,1,10,0.06141690158162292,1.630302907353174e-10
PF07498,1,11,-0.28206327579062895,5.734486608029804e-197
PF07498,2,0,-0.09191524420057107,9.859681888341521e-22
PF07498,2,1,-0.3474982124065243,1.3993964507068384e-304
PF07498,2,2,-0.19231300900938939,1.2750369275729152e-90
PF07498,2,3,-0.16996520166048956,6.5772440157681546e-71
PF07498,2,4,-0.180234120993499,1.20431192844821e-79
PF07498,2,5,0.07243851185055325,4.60535377908794e-14
PF07498,2,6,-0.3551844789402042,0.0
PF07498,2,7,-0.19725645779175985,2.4769351999473985e-95
PF07498,2,8,-0.22765273556850657,3.640421698666083e-127
PF07498,2,9,-0.3037574772225992,1.1952022090166332e-229
PF07498,2,10,-0.2962676930902602,4.845710991069175e-218
PF07498,2,11,-0.21692488863598955,2.312798765266226e-115
PF07498,3,0,-0.025058587244604115,0.009155269686653528
PF07498,3,1,0.20017088793722188,3.5963100588039915e-98
PF07498,3,2,-0.12194782195106041,4.0992904909687724e-37
PF07498,3,3,-0.04384647909881677,5.0740983974447984e-06
PF07498,3,4,-0.16383623204883158,5.966850586262077e-66
PF07498,3,5,-0.17360869306091467,6.025015767428019e-74
PF07498,3,6,-0.3194076644111593,4.895609644807631e-255
PF07498,3,7,-0.13806311812985012,3.548970822359299e-47
PF07498,3,8,0.09476129091423312,5.2762839866663656e-23
PF07498,3,9,-0.26001775885894446,1.2177826895515693e-166
PF07498,3,10,-0.1404079209001219,9.53326737059591e-49
PF07498,3,11,-0.2290153790958895,1.039792243900165e-128
PF07498,4,0,-0.18287263072394297,5.597934392793938e-82
PF07498,4,1,-0.08337380255071072,3.787526393880547e-18
PF07498,4,2,-0.24399728756278616,2.298104262008493e-146
PF07498,4,3,-0.22839955794831915,5.200965020707493e-128
PF07498,4,4,-0.11378024475603728,1.6877544625140976e-32
PF07498,4,5,-0.05324182427739433,3.017136254132094e-08
PF07498,4,6,-0.11934053437324238,1.3215756915619753e-35
PF07498,4,7,-0.11455865171655102,6.331414547476928e-33
PF07498,4,8,-0.14394993656763122,3.585716914917096e-51
PF07498,4,9,-0.26066565919111234,1.71679443072528e-167
PF07498,4,10,-0.2041920411296353,3.68361323498264e-102
PF07498,4,11,-0.08243040657583933,8.974759455891947e-18
PF07498,5,0,0.07667265603745986,1.4076179039021807e-15
PF07498,5,1,-0.1614037437305846,4.9028499379486755e-64
PF07498,5,2,-0.1775494214702468,2.6143643191596808e-77
PF07498,5,3,-0.07341644967807143,2.093583865736521e-14
PF07498,5,4,-0.17181412901328735,1.926764912965685e-72
PF07498,5,5,-0.05742627625724218,2.2787820866740874e-09
PF07498,5,6,-0.07762036722198871,6.278811426979115e-16
PF07498,5,7,-0.22642935333685718,8.686821742149629e-126
PF07498,5,8,-0.02965400433915098,0.0020400550512778303
PF07498,5,9,-0.10589564352865857,2.3715836485850096e-28
PF07498,5,10,-0.10030214824928108,1.3667901198264883e-25
PF07498,5,11,-0.1722039455556284,9.10630877399104e-73
PF07498,6,0,-0.10763383268698429,3.06529122564999e-29
PF07498,6,1,0.04104742972171495,1.952636718013445e-05
PF07498,6,2,-0.07564025779430977,3.3543289603106913e-15
PF07498,6,3,-0.08973278212143096,8.765039279511914e-21
PF07498,6,4,-0.06600594506124988,6.361109643055241e-12
PF07498,6,5,-0.11544695584331995,2.05107949028179e-33
PF07498,6,6,-0.06145355922825104,1.590024099762609e-10
PF07498,6,7,-0.12218671966167038,2.970579217612436e-37
PF07498,6,8,-0.10032648716876187,1.330500818133557e-25
PF07498,6,9,-0.03750215329182771,9.573862352049629e-05
PF07498,6,10,-0.0863084234856904,2.431683441217208e-19
PF07498,6,11,-0.07071045171135788,1.8083137139463271e-13
PF07498,7,0,-0.06773564285804765,1.7662783562871346e-12
PF07498,7,1,-0.09188807734722511,1.0134773457579375e-21
PF07498,7,2,-0.11850466891014634,3.959557958881287e-35
PF07498,7,3,-0.1495715045865172,3.7848919713387184e-55
PF07498,7,4,-0.16767898113428442,4.894809921356976e-69
PF07498,7,5,-0.08027458218493215,6.214305268085165e-17
PF07498,7,6,0.04534094129989078,2.389495277360115e-06
PF07498,7,7,-0.08156535224710239,1.9627894235545707e-17
PF07498,7,8,-0.10322589451542273,5.1459264652465196e-27
PF07498,7,9,-0.11635732450227304,6.402187322663071e-34
PF07498,7,10,-0.1081612582281957,1.636693404139685e-29
PF07498,7,11,-0.053643544872543344,2.3735407127570356e-08
PF07498,8,0,-0.07928636520929355,1.4834362892018643e-16
PF07498,8,1,-0.08974514162511328,8.658528365778241e-21
PF07498,8,2,0.03524276486506253,0.00024640985831172655
PF07498,8,3,-0.033416600723337096,0.0005091506532977956
PF07498,8,4,-0.11070281474230004,7.620448977185033e-31
PF07498,8,5,-0.12462118698088681,1.075546781771056e-38
PF07498,8,6,-0.12806064421401683,8.830978125938944e-41
PF07498,8,7,-0.1516128995232849,1.2443216396181699e-56
PF07498,8,8,0.05094753890248016,1.1493409026302693e-07
PF07498,8,9,-0.005076062190765677,0.5976014690963634
PF07498,8,10,-0.08202593754008114,1.2952869152656943e-17
PF07498,8,11,-0.13725614622471694,1.214561737093659e-46
PF07498,9,0,-0.09772850930876437,2.2669213408654673e-24
PF07498,9,1,0.052824392340156484,3.864387570426086e-08
PF07498,9,2,-0.1263599988886512,9.649259717447297e-40
PF07498,9,3,-0.04794436649435219,6.084786467798013e-07
PF07498,9,4,-0.0737968573412425,1.5363738703868684e-14
PF07498,9,5,-0.1230151595801006,9.675075232784522e-38
PF07498,9,6,-0.0738856664060899,1.4289722437971597e-14
PF07498,9,7,0.1422799107760505,5.076350876296584e-50
PF07498,9,8,-0.07888807890006486,2.100207901175544e-16
PF07498,9,9,-0.04760741769827695,7.292493194881288e-07
PF07498,9,10,0.01204259673604236,0.21044938051446171
PF07498,9,11,-0.03984491638846019,3.397568692652766e-05
PF07498,10,0,-0.022266134674441666,0.02057479465153136
PF07498,10,1,-0.038965377772684544,5.046342642824262e-05
PF07498,10,2,0.03148332363737449,0.0010577463152970966
PF07498,10,3,-0.07561136227570324,3.4362802114891014e-15
PF07498,10,4,-0.0943197028440771,8.358967080888352e-23
PF07498,10,5,-0.16799383077303132,2.713667958916265e-69
PF07498,10,6,-0.10998485675981101,1.8256398394174198e-30
PF07498,10,7,-0.10294892570860355,7.049277029907006e-27
PF07498,10,8,-0.15588362247120616,8.404518695284503e-60
PF07498,10,9,-0.07366589297734924,1.7093926284991817e-14
PF07498,10,10,-0.045334957680376806,2.3968227853356834e-06
PF07498,10,11,-0.11796683833607893,7.988824505093559e-35
PF07498,11,0,-0.032087499219840124,0.000845133374712044
PF07498,11,1,-0.2621964014791274,1.6400548504858495e-169
PF07498,11,2,-0.1477876385603551,7.194427336040793e-54
PF07498,11,3,-0.096917068281479,5.4128257365932866e-24
PF07498,11,4,-0.14903756761352593,9.1733601378752e-55
PF07498,11,5,-0.013719707397808294,0.1536514477440263
PF07498,11,6,-0.11679512896641217,3.6451923735992556e-34
PF07498,11,7,0.13962493058856276,3.212358442680205e-48
PF07498,11,8,-0.10032409566704,1.3340238255100317e-25
PF07498,11,9,0.18467120940396153,1.3716038465398118e-83
PF07498,11,10,0.09691357910994217,5.4330358787363824e-24
PF07498,11,11,-0.12660089286104467,6.89058799292953e-40
