Protein family,Layer,Correlation,P value
PF10576,0,0.1338379163959052,0.0
PF10576,1,0.10772386072962742,0.0
PF10576,2,0.06406254859434266,1.9052159259234638e-139
PF10576,3,0.033288779612615615,6.132430690203781e-39
PF10576,4,0.012733246626185385,5.988289911415472e-07
PF10576,5,0.005389091812810103,0.03464168865985288
PF10576,6,0.0017041966794770435,0.5041079645613513
PF10576,7,0.001487739099940439,0.5597658695301875
PF10576,8,-0.004496043736078784,0.07799435830838816
PF10576,9,-0.003608373826616302,0.15722229548203182
PF10576,10,-0.008564957154587301,0.0007865146345105016
PF10576,11,-0.015935516055242394,4.1822873406409654e-10
