Protein family,Layer,Correlation,P value
PF12172,0,0.1766565297418754,1.423929096397875e-61
PF12172,1,0.1629340323905658,1.5796052519088069e-52
PF12172,2,0.1707942911323227,1.2930217157376023e-57
PF12172,3,0.1708866856048814,1.1228289961236857e-57
PF12172,4,0.15354980429759424,8.791113397772927e-47
PF12172,5,0.13692133687825653,1.8143080420423837e-37
PF12172,6,0.12878969757806658,2.5998754722658837e-33
PF12172,7,0.1155838557178808,4.101031873186375e-27
PF12172,8,0.096333322323537,2.74254922690083e-19
PF12172,9,0.0702317905665419,6.206116271121144e-11
PF12172,10,0.05555913901972953,2.3378521595090334e-07
PF12172,11,0.06031946415532297,1.9768917738243165e-08
