Protein family,Layer,Correlation,P value
PF10114,0,0.38902257841723437,0.0
PF10114,1,0.42218074419519475,0.0
PF10114,2,0.37983481355243753,0.0
PF10114,3,0.34723798400275574,0.0
PF10114,4,0.3082988565086832,0.0
PF10114,5,0.2034688497921768,0.0
PF10114,6,0.03458352824433878,1.52412740005857e-11
PF10114,7,-0.024903211341077012,1.1934634431488e-06
PF10114,8,-0.059004889705022906,1.1007961134773153e-30
PF10114,9,-0.05088034736128966,3.1522084870482203e-23
PF10114,10,-0.03365850478718987,5.201447426524363e-11
PF10114,11,0.014299735016677898,0.0052952874868601035
