Protein family,Layer,Correlation,P value
PF13377,0,0.4047743944127284,1.977588600302549e-171
PF13377,1,0.4388192743932588,1.6445477374658523e-204
PF13377,2,0.4871456373667549,1.8412844368296472e-258
PF13377,3,0.4611752668459281,2.169836926940909e-228
PF13377,4,0.4224609003938162,3.8701778731951815e-188
PF13377,5,0.34042902477377873,1.2355322320232177e-118
PF13377,6,0.30706002267676974,9.205065886648535e-96
PF13377,7,0.33114007878959406,5.642226202681008e-112
PF13377,8,0.3827810435113365,5.0744751948248706e-152
PF13377,9,0.4307720389054823,2.4141033633618333e-196
PF13377,10,0.4550930846858605,1.025416534243189e-221
PF13377,11,0.4447338219651259,1.1782914112057227e-210
