Protein family,Layer,Correlation,P value
PF00699,0,0.17532255236540217,0.0
PF00699,1,0.10118527123776115,1.8742631359616204e-195
PF00699,2,0.11823315620901989,1.372042636720621e-266
PF00699,3,0.09480315334057618,1.0126898309588024e-171
PF00699,4,0.09559364021341311,1.4164726078015462e-174
PF00699,5,0.1353435844991521,0.0
PF00699,6,0.17029615457331568,0.0
PF00699,7,0.19248801074082592,0.0
PF00699,8,0.17874891719505506,0.0
PF00699,9,0.17235722509838788,0.0
PF00699,10,0.15463734138799243,0.0
PF00699,11,0.16677860358414417,0.0
