Protein family,Layer,Correlation,P value
PF13466,0,0.3414980035192732,1.4842686664121736e-80
PF13466,1,0.3641565648187539,3.852965669297199e-92
PF13466,2,0.369434181484479,5.6090397125154276e-95
PF13466,3,0.3122625640956989,5.686054385161193e-67
PF13466,4,0.2876342325558084,1.1619997302766911e-56
PF13466,5,0.2647195915398921,5.923071890631022e-48
PF13466,6,0.2455706081310319,2.6253015488949396e-41
PF13466,7,0.2414344941947094,6.045138754316958e-40
PF13466,8,0.2538725185670523,4.0427876933184093e-44
PF13466,9,0.3303743264482608,3.28636550778836e-75
PF13466,10,0.36824388442599826,2.4738654570696456e-94
PF13466,11,0.4074169305409196,5.087363839473805e-117
