Protein family,Layer,Correlation,P value
PF14317,0,0.2835588464231631,0.0
PF14317,1,0.22402277574863183,1.3792367080429519e-224
PF14317,2,0.19600857239641117,2.2201811434624137e-171
PF14317,3,0.16559457877525183,3.2347351310937184e-122
PF14317,4,0.13257962460892642,1.1984876214717678e-78
PF14317,5,0.11325688106773553,9.297594114612663e-58
PF14317,6,0.12477443212395636,8.352959493076202e-70
PF14317,7,0.14445846493686557,3.6093622978520674e-93
PF14317,8,0.14339579017181137,8.109676922137922e-92
PF14317,9,0.12250932987690955,2.427455228212373e-67
PF14317,10,0.10322336629266035,3.131631162448788e-48
PF14317,11,0.07478129095822061,4.650841150893004e-26
