Protein family,Layer,Correlation,P value
PF13377,0,0.28370391854605675,1.9634763984759197e-81
PF13377,1,0.2518188550402322,5.501208964070472e-64
PF13377,2,0.21651541504519284,2.2404342679321116e-47
PF13377,3,0.1595946743663756,3.037040181696576e-26
PF13377,4,0.11899714509175058,3.2851363440458016e-15
PF13377,5,0.053371631253819406,0.0004250386653313965
PF13377,6,-0.005757647205347908,0.7040205356496795
PF13377,7,0.007302543643668993,0.6299224673192273
PF13377,8,0.006737874852161511,0.6566253576191605
PF13377,9,0.017378678954017228,0.2514848682727099
PF13377,10,0.029270904798307955,0.05339170957485359
PF13377,11,0.0405426002332866,0.007447465980541826
