Protein family,Layer,Correlation,P value
PF13377,0,0.4803189728291261,2.6500677605579022e-250
PF13377,1,0.5110056163416795,1.7805082938185365e-288
PF13377,2,0.48619992537131745,2.5489914580537994e-257
PF13377,3,0.4221565911655803,7.65236135054816e-188
PF13377,4,0.33126628154950755,4.597368248045363e-112
PF13377,5,0.2648087739208823,8.31484700793296e-71
PF13377,6,0.24887911492527223,1.6991023050092337e-62
PF13377,7,0.284094650250181,1.1595420171955023e-81
PF13377,8,0.3248741868607527,1.3020393150278576e-107
PF13377,9,0.35016818170878317,7.23754784130775e-126
PF13377,10,0.3671026901411627,4.556248165001928e-139
PF13377,11,0.34067517980883183,8.170204192631151e-119
