Protein family,Layer,Correlation,P value
PF10576,0,0.19086324730360196,0.0
PF10576,1,0.11942869342861274,0.0
PF10576,2,0.15141108860434074,0.0
PF10576,3,0.1380984886208309,0.0
PF10576,4,0.13049492760023396,0.0
PF10576,5,0.09873189225776993,0.0
PF10576,6,0.09173875068275505,2.179937324780448e-284
PF10576,7,0.0721572226818419,1.835442693607539e-176
PF10576,8,0.04453346387095765,2.6174738659463384e-68
PF10576,9,0.050319249796091654,1.0276006582143439e-86
PF10576,10,0.04224775782174436,1.1795463563860516e-61
PF10576,11,0.04687041049634241,1.7923731886661135e-75
