Protein family,Layer,Correlation,P value
PF14317,0,0.2602661188146995,3.6115919277638686e-305
PF14317,1,0.2534750723944206,4.936972068240259e-289
PF14317,2,0.25965563274180387,1.0669739673251829e-303
PF14317,3,0.23892273550541784,4.448546537477291e-256
PF14317,4,0.23301253667116584,2.566441309715269e-243
PF14317,5,0.23844256556457585,4.992475916306158e-255
PF14317,6,0.23985711649962968,3.962896083140088e-258
PF14317,7,0.2511278633313461,1.4380839220616325e-283
PF14317,8,0.26390503390982495,0.0
PF14317,9,0.2640309569688911,0.0
PF14317,10,0.2614697283311185,4.436423802993793e-308
PF14317,11,0.2565396661059781,2.965298339719227e-296
