Protein family,Layer,Head,Correlation,P-value
PF07498,0,0,-0.1502421122045165,1.2392069931844378e-55
PF07498,0,1,-0.20000035064234944,5.28642003108106e-98
PF07498,0,2,-0.2540683301216009,6.107739163652655e-159
PF07498,0,3,-0.28821740998437784,6.002982497796077e-206
PF07498,0,4,-0.2420063472325903,6.020988719515774e-144
PF07498,0,5,-0.30519967264894815,6.343992686813667e-232
PF07498,0,6,-0.1334427440363112,3.6797723519525473e-44
PF07498,0,7,-0.33638560783964033,2.342520290429026e-284
PF07498,0,8,-0.3141147971765768,2.8136290919272197e-246
PF07498,0,9,-0.1457076732470579,2.1288854096507777e-52
PF07498,0,10,-0.2967348537428116,9.363722176007542e-219
PF07498,0,11,-0.2824354726121316,1.666642115746794e-197
PF07498,1,0,-0.037964750113973655,7.837962833035217e-05
PF07498,1,1,-0.3155388695615906,1.2884047469901087e-248
PF07498,1,2,-0.04649210771253491,1.3165708668195323e-06
PF07498,1,3,-0.22459175061924236,9.83725861809817e-124
PF07498,1,4,-0.15257103297791033,2.463899381850637e-57
PF07498,1,5,-0.10111066831448788,5.571310022599921e-26
PF07498,1,6,0.10779419495174779,2.5337258981751543e-29
PF07498,1,7,-0.13062470307560858,2.2565460399375482e-42
PF07498,1,8,-0.058122144193096824,1.4564076505861156e-09
PF07498,1,9,-0.09885388485080289,6.698694830291586e-25
PF07498,1,10,0.029174911565667563,0.0024094593048245437
PF07498,1,11,-0.27868917635779566,3.852290298770532e-192
PF07498,2,0,-0.09893919866195398,6.10387690816396e-25
PF07498,2,1,-0.3392936902390054,1.4366114795746395e-289
PF07498,2,2,-0.17763850432701847,2.1899241302162126e-77
PF07498,2,3,-0.14809164767374883,4.366782336347089e-54
PF07498,2,4,-0.18713986678444428,7.924101095897508e-86
PF07498,2,5,0.03171363003655053,0.0009714542563167951
PF07498,2,6,-0.3635497169150345,0.0
PF07498,2,7,-0.1974165116528816,1.73467601418506e-95
PF07498,2,8,-0.20637612528534213,2.308527040218989e-104
PF07498,2,9,-0.3114959416908473,5.217779178266987e-242
PF07498,2,10,-0.29479822237851555,8.361053481666315e-216
PF07498,2,11,-0.19579138119545428,6.363232700863393e-94
PF07498,3,0,-0.030508268666020362,0.0015075210334470747
PF07498,3,1,0.18282454482037558,6.178215858657724e-82
PF07498,3,2,-0.1284638564602917,4.985508117901179e-41
PF07498,3,3,-0.07060059968452095,1.970430897344192e-13
PF07498,3,4,-0.18467844518925872,1.3511838712813155e-83
PF07498,3,5,-0.19025476061924665,1.070143816040981e-88
PF07498,3,6,-0.32092215095225524,1.4138970286724529e-257
PF07498,3,7,-0.11520982195920577,2.7735429316369353e-33
PF07498,3,8,0.0879763638457274,4.8970996240584156e-20
PF07498,3,9,-0.2638042870758856,1.198440913225068e-171
PF07498,3,10,-0.17701596405064574,7.53763524407718e-77
PF07498,3,11,-0.19959667166762346,1.3139397028528854e-97
PF07498,4,0,-0.15167062533682224,1.128989439623651e-56
PF07498,4,1,-0.052061238656327016,6.046627469821092e-08
PF07498,4,2,-0.28120912431073986,9.703372686667264e-196
PF07498,4,3,-0.1857693288774545,1.397978649005237e-84
PF07498,4,4,-0.08824151051896047,3.7851691525013786e-20
PF07498,4,5,-0.04259842444863902,9.347756413468386e-06
PF07498,4,6,-0.10066307871178065,9.164404818968648e-26
PF07498,4,7,-0.11143916241045743,3.091977642111092e-31
PF07498,4,8,-0.16014707318078394,4.6545628326399606e-63
PF07498,4,9,-0.23404852520626032,1.677039064350665e-134
PF07498,4,10,-0.20669800079192957,1.0877576213536043e-104
PF07498,4,11,-0.088163002942996,4.085441543360475e-20
PF07498,5,0,0.0174613352246954,0.06938457636866718
PF07498,5,1,-0.17420088214691234,1.9043287730985007e-74
PF07498,5,2,-0.2331727666796113,1.7476793748807302e-133
PF07498,5,3,-0.08012667893719833,7.083399116326157e-17
PF07498,5,4,-0.1495935632167401,3.648706431935893e-55
PF07498,5,5,-0.12346847948291927,5.219722166446671e-38
