Protein family,Layer,Correlation,P value
PF07677,0,0.15704285113511895,2.2192579895174919e-206
PF07677,1,0.06971587427172826,8.967473563258954e-42
PF07677,2,0.06968948693038118,9.617030026267056e-42
PF07677,3,0.08156762391946992,1.4056186237452747e-56
PF07677,4,0.08069483882002185,2.077346007975851e-55
PF07677,5,0.08244045407337515,9.23659287558513e-58
PF07677,6,0.10486523279644502,1.6913355771192435e-92
PF07677,7,0.1302207677786424,5.396206587789978e-142
PF07677,8,0.12417326680767758,3.40354388564049e-129
PF07677,9,0.12644347542479864,6.314870732624985e-134
PF07677,10,0.12733060360523077,8.461383740012316e-136
PF07677,11,0.1496177964438352,2.6494958800445435e-187
