Protein family,Layer,Head,Correlation,P-value
PF07677,0,0,-0.2454427509866736,0.0
PF07677,0,1,-0.26771623625868246,0.0
PF07677,0,2,-0.23898509240969992,0.0
PF07677,0,3,-0.257669298171571,0.0
PF07677,0,4,-0.06270354855132816,4.169089291650422e-34
PF07677,0,5,-0.13108346699243853,7.161775687971378e-144
PF07677,0,6,-0.2459887462214825,0.0
PF07677,0,7,-0.3156436278567391,0.0
PF07677,0,8,-0.2965676002927504,0.0
PF07677,0,9,-0.09703211995781591,2.085064253001502e-79
PF07677,0,10,-0.05562966073136399,3.43607978105527e-27
PF07677,0,11,-0.296558967249405,0.0
PF07677,1,0,-0.27631936616024544,0.0
PF07677,1,1,-0.2200310086605764,0.0
PF07677,1,2,-0.10072834067494922,1.8639044304074342e-85
PF07677,1,3,-0.21983573384416055,0.0
PF07677,1,4,-0.2588741995005091,0.0
PF07677,1,5,-0.23983576039826704,0.0
PF07677,1,6,-0.11801351435000344,8.447967425988895e-117
PF07677,1,7,-0.13305097890876652,3.359131405132816e-148
PF07677,1,8,-0.2417363244306307,0.0
PF07677,1,9,-0.0742712977429932,3.4452687170472377e-47
PF07677,1,10,-0.1419635487755607,1.2053468516812456e-168
PF07677,1,11,-0.3110762071402435,0.0
PF07677,2,0,0.08120059258484891,4.378010048434067e-56
PF07677,2,1,-0.42887296942334885,0.0
PF07677,2,2,-0.041518143903508976,7.772645507825659e-16
PF07677,2,3,-0.156722358974856,1.5474329146599768e-205
PF07677,2,4,-0.06762605008930155,2.100991610461521e-39
PF07677,2,5,-0.009160823938563715,0.07553894086687367
PF07677,2,6,-0.20713573205689015,0.0
PF07677,2,7,-0.18424573734754474,1.3051595783509787e-284
PF07677,2,8,-0.2750227761141219,0.0
PF07677,2,9,-0.18469165524241327,5.282158779038731e-286
PF07677,2,10,-0.3051769887410024,0.0
PF07677,2,11,-0.0660707760545583,1.0947428226134452e-37
PF07677,3,0,-0.03136758880473921,1.1532805995703603e-09
PF07677,3,1,0.24467026839430564,0.0
PF07677,3,2,-0.06768847109049735,1.7893083858043308e-39
PF07677,3,3,-0.010661235200297244,0.038614668632429974
PF07677,3,4,-0.26523151021750124,0.0
PF07677,3,5,-0.24097448699744245,0.0
PF07677,3,6,-0.3544784821153787,0.0
PF07677,3,7,-0.008197558277720693,0.11176715282354213
PF07677,3,8,0.1306659133181065,5.822828874290284e-143
PF07677,3,9,-0.034379938638404814,2.532733399759462e-11
PF07677,3,10,-0.056019242181767584,1.501459187948353e-27
PF07677,3,11,-0.07329628301930133,5.310715836980089e-46
PF07677,4,0,-0.07718232593647445,7.887114934853022e-51
PF07677,4,1,-0.03519191564885083,8.543704796664323e-12
PF07677,4,2,-0.1090806433592427,5.697135733984419e-100
PF07677,4,3,-0.058149601354894095,1.4669991091692798e-29
PF07677,4,4,-0.018867702053747576,0.0002516857899718026
PF07677,4,5,-0.09553295220955184,5.09456846722915e-77
PF07677,4,6,-0.0928776201782865,6.987858575477645e-73
PF07677,4,7,-0.06880834585506686,9.786039891630181e-41
