Protein family,Layer,Correlation,P value
PF03463,0,0.07135024629416883,5.749994930398834e-67
PF03463,1,0.033256936841330534,8.26361644836686e-16
PF03463,2,0.04575122761938417,1.6156452149118585e-28
PF03463,3,0.09960380143941296,5.3583337086889564e-129
PF03463,4,0.09413938089902602,2.2082618764855373e-115
PF03463,5,0.1310259938135233,1.544658125181075e-222
PF03463,6,0.09313999799339198,5.620895048467036e-113
PF03463,7,0.04937048327774334,6.136075474021143e-33
PF03463,8,0.008181450185055065,0.047714562186677405
PF03463,9,0.013910469483664438,0.0007614939014063481
PF03463,10,-0.006677558960945954,0.10610452056300358
PF03463,11,0.013916595937569528,0.0007574102816536852
