Protein family,Layer,Correlation,P value
PF13466,0,0.39227221699843884,7.006442363784763e-108
PF13466,1,0.4277380903668754,4.747126325548357e-130
PF13466,2,0.436690311590641,4.422664089028663e-136
PF13466,3,0.3564603992890989,4.246006660893052e-88
PF13466,4,0.2922834075626243,1.5691174603244124e-58
PF13466,5,0.27786425286216304,7.585037535265889e-53
PF13466,6,0.2571251164090328,2.9926282825893706e-45
PF13466,7,0.25118235547578,3.3849175035302092e-43
PF13466,8,0.2842696894014989,2.4904076105286667e-55
PF13466,9,0.3323224206583335,3.9493640437689913e-76
PF13466,10,0.3407316076836305,3.522868813881585e-80
PF13466,11,0.35535952760943995,1.5743022896336878e-87
