Protein family,Layer,Correlation,P value
PF14317,0,0.26032647257120717,2.582927986777999e-305
PF14317,1,0.25458641079859134,1.219312984868388e-291
PF14317,2,0.24377526116276654,7.99997186787138e-267
PF14317,3,0.210074466144271,3.9654389420423436e-197
PF14317,4,0.2009651436791696,3.1157388714628304e-180
PF14317,5,0.21470330206642446,5.015227442603093e-206
PF14317,6,0.22343317154854342,2.185849230367169e-223
PF14317,7,0.23541624415404702,1.8295784426907376e-248
PF14317,8,0.24215379489132968,3.315417730628829e-263
PF14317,9,0.24446765871110904,2.239211153613853e-268
PF14317,10,0.24769351925186328,1.1202061350177045e-275
PF14317,11,0.25672423817244994,1.0814064952778885e-296
