Protein family,Layer,Correlation,P value
PF06427,0,0.13611858255318512,1.0396633291009455e-99
PF06427,1,0.12687470848328553,8.963989085074646e-87
PF06427,2,0.1423733249251722,5.383391963026383e-109
PF06427,3,0.10219158728395612,8.654221881639129e-57
PF06427,4,0.06937874680014104,4.975290446446783e-27
PF06427,5,0.0370420562954796,9.290890061357186e-09
PF06427,6,0.028723728866407637,8.473202763616181e-06
PF06427,7,0.021175435013016355,0.0010293126114991544
PF06427,8,0.019753421216694163,0.0021992243673601363
PF06427,9,0.01684734375887634,0.009017559125791523
PF06427,10,0.015704380547936807,0.01492464576812035
PF06427,11,0.019324552588901485,0.002740586566766034
