Protein family,Layer,Correlation,P value
PF00672,0,0.04082204727458971,4.81623607015051e-18
PF00672,1,0.02813520840642873,2.436185755301366e-09
PF00672,2,0.06490287916066684,3.676892706288356e-43
PF00672,3,0.08697202637361004,3.4336496874953324e-76
PF00672,4,0.08027797918553423,3.7445692961075507e-65
PF00672,5,0.09252435058813747,5.057153244664492e-86
PF00672,6,0.08802798884107811,5.166844845536808e-78
PF00672,7,0.09031739462248968,4.847648527184944e-82
PF00672,8,0.08701279470603177,2.922834957694611e-76
PF00672,9,0.08706275931370891,2.3989886157787183e-76
PF00672,10,0.07499709796051565,4.5042638315383315e-57
PF00672,11,0.08911092651755173,6.623136844868879e-80
