Protein family,Layer,Correlation,P value
PF12172,0,0.1361113172035676,4.835179262278603e-37
PF12172,1,0.09599357245711829,3.6600803070111352e-19
PF12172,2,0.06891825401334262,1.398091008945757e-10
PF12172,3,0.08087117264884783,4.986523803570403e-14
PF12172,4,0.0992913222704669,2.1295720982010345e-20
PF12172,5,0.08690663897576535,5.657650701513798e-16
PF12172,6,0.05274550321873836,9.199144073690765e-07
PF12172,7,0.05586414050473685,2.007152929610619e-07
PF12172,8,0.09755936576293009,9.598261631108514e-20
PF12172,9,0.09796390675595913,6.768381387622357e-20
PF12172,10,0.12778562313339034,8.130685143795691e-33
PF12172,11,0.16885886560075145,2.440653006134841e-56
