Protein family,Layer,Correlation,P value
PF12872,0,0.1121773466137226,1.857263532102766e-48
PF12872,1,0.08953602756530843,1.987187160449842e-31
PF12872,2,0.11213822677840338,2.002779312255195e-48
PF12872,3,0.10961091153543934,2.4743082981869275e-46
PF12872,4,0.09753024147326717,5.317875236757287e-37
PF12872,5,0.09104016269346304,1.9331975996298566e-32
PF12872,6,0.09997692700704848,8.403649844034954e-39
PF12872,7,0.09848400024186639,1.0688634377825254e-37
PF12872,8,0.09109171642472737,1.7835774680429122e-32
PF12872,9,0.08701383154775401,9.062344317087193e-30
PF12872,10,0.07843923402501157,1.75066399309392e-24
PF12872,11,0.0679415776809564,9.404600355136401e-19
