Protein family,Layer,Correlation,P value
PF00484,0,0.23304376027701246,0.0
PF00484,1,0.09428033749759247,2.555200531614504e-125
PF00484,2,0.14260775667411593,1.0542695605759305e-285
PF00484,3,0.16911981165525264,0.0
PF00484,4,0.14510100711783638,8.221135250442719e-296
PF00484,5,0.17020728627334106,0.0
PF00484,6,0.15502033242172134,0.0
PF00484,7,0.1655748111309277,0.0
PF00484,8,0.1623226353439029,0.0
PF00484,9,0.1892787416684081,0.0
PF00484,10,0.1910896631695543,0.0
PF00484,11,0.21804220188433396,0.0
