Protein family,Layer,Correlation,P value
PF03463,0,0.017786013680317937,1.673905889659551e-05
PF03463,1,-0.01885340749378166,5.046802042238985e-06
PF03463,2,-0.000472755788215613,0.9089171745233172
PF03463,3,0.05599365963243477,6.837175784407939e-42
PF03463,4,0.07047379327905706,2.2578014892846505e-65
PF03463,5,0.09838659494017589,6.750208471331807e-126
PF03463,6,0.1094853118205223,1.327855510813023e-155
PF03463,7,0.07507676545181487,5.7717917513165664e-74
PF03463,8,0.04672272808340613,1.1336393883482319e-29
PF03463,9,0.024137885278430568,5.154849957781127e-09
PF03463,10,0.0028759500108405407,0.4864498179730494
PF03463,11,0.014555412455193551,0.00042746283159864306
