Protein family,Layer,Correlation,P value
PF13377,0,0.25768385205796324,5.118803272714974e-67
PF13377,1,0.2435791023922006,7.353083479405464e-60
PF13377,2,0.20313349134866054,8.550202626832957e-42
PF13377,3,0.14795079898034016,9.606619754782564e-23
PF13377,4,0.0917620860911127,1.3002703277472635e-09
PF13377,5,0.03630183355929457,0.016574046118954217
PF13377,6,0.0071279922194445134,0.6381275227666228
PF13377,7,-0.01288746004529082,0.39512298856855044
PF13377,8,-0.013537088552972507,0.3717327567194343
PF13377,9,-0.00428223328996482,0.7775236693784814
PF13377,10,-0.014860279509114895,0.3268141569489946
PF13377,11,0.015617258632972383,0.3027724950244892
